recommendations listening on port 3003
recommendations request | id=63b0cef3-b88d-45d1-b6e2-cedac1b6663e | GET /health | status=200 | durationMs=5 | usersMs=n/a | catalogMs=n/a
recommendations request | id=afadf75d-c1eb-4830-a680-96c01554d998 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=1 | catalogMs=7
recommendations request | id=686cf9aa-b745-43f6-8b01-6e08a056e6aa | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=5 | catalogMs=5
recommendations request | id=f6860c67-a6a2-4841-b2e9-7d175ef6c75a | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=4 | catalogMs=4
recommendations request | id=1fc38b29-1efe-451c-9da3-e25c89196bc6 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=3
recommendations request | id=b713e2d5-5e10-40e1-8ee7-581e87fe5fc8 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=2
recommendations request | id=139a191d-f108-4db9-8e3f-26b04e54e92f | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=3
recommendations request | id=54019b0f-2e54-46a1-a508-8a170e3aecba | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=4
recommendations request | id=b02c50a8-b73d-43cf-a4be-11f97f36a637 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=5 | catalogMs=4
recommendations request | id=8100c2a1-9f2c-4d08-a09a-7865acb924c4 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=2
recommendations request | id=e7ae7386-df59-4762-9ade-0499a9abdc86 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=5 | catalogMs=4
recommendations request | id=0233e0a3-2181-4cbf-880d-c02b32cbff63 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=3 | catalogMs=3
recommendations request | id=6c5cdabf-c698-48e2-b91e-673098dca7fa | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=6 | catalogMs=6
recommendations request | id=ebf6ef5a-f4d9-431d-886f-2c39507e26e0 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=3
recommendations request | id=428c3232-1205-4190-98c2-64bdbe729a8e | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=2 | catalogMs=5
recommendations request | id=1969344c-3a41-4816-9896-f487ddc0978c | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=beacf835-e158-468f-aa76-d241a7a65935 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=bdd74858-3089-48a3-9b8e-78d659eaa7f9 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=2
recommendations request | id=dede4ed0-8785-4a9b-9afa-8107cf1b7dc6 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=2 | catalogMs=4
recommendations request | id=f42dc3fe-b08b-4060-964b-5aec3c21ebc8 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=1 | catalogMs=6
recommendations request | id=a4dde717-2e1e-4715-828d-e24567640276 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=4
recommendations request | id=8008af5c-d90b-42bc-b34b-ee9b5785eb16 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=4 | catalogMs=5
recommendations request | id=eca6ce73-65e3-4973-8500-14d3a1c84cc0 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=3
recommendations request | id=609fc0b7-da06-42ca-ab42-2ec74d144055 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=5 | catalogMs=5
recommendations request | id=1d4bf3a2-2c18-4909-96b2-cc33ab59dfb4 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=3 | catalogMs=2
recommendations request | id=bcc3bce2-f2a7-451b-9af8-31e99a1b576a | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=3
recommendations request | id=ee6cd820-f9ac-4088-8cc3-12d52ef3f97b | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=1 | catalogMs=5
recommendations request | id=13985637-72bd-4b24-a966-15e0406b4d8e | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=2 | catalogMs=3
recommendations request | id=50c61776-e41a-4780-9b57-685420ac83dc | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=3 | catalogMs=4
recommendations request | id=306003ed-780d-4833-be98-43deb693f921 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=3 | catalogMs=6
recommendations request | id=f6a85ae0-542b-4ddf-b2fd-568e3412c795 | GET /recommendations/1 | status=200 | durationMs=26 | usersMs=15 | catalogMs=17
recommendations request | id=7f7c89a0-a849-47ee-bb83-3369ca8fd594 | GET /recommendations/1 | status=200 | durationMs=33 | usersMs=13 | catalogMs=26
recommendations request | id=83eba8b0-0a94-4b0f-b9bf-b950c6e89f28 | GET /recommendations/1 | status=200 | durationMs=33 | usersMs=12 | catalogMs=29
recommendations request | id=25910b2b-d024-4415-9b79-4b36fb5dba81 | GET /recommendations/1 | status=200 | durationMs=39 | usersMs=14 | catalogMs=33
recommendations request | id=881832c3-a84d-4ab6-89f6-fb601c871e79 | GET /recommendations/1 | status=200 | durationMs=32 | usersMs=28 | catalogMs=29
recommendations request | id=154e725d-1229-438b-a8c1-625713282964 | GET /recommendations/1 | status=200 | durationMs=45 | usersMs=30 | catalogMs=29
recommendations request | id=74a41d80-e656-4a06-9013-32f1349ef2e2 | GET /recommendations/1 | status=200 | durationMs=30 | usersMs=28 | catalogMs=25
recommendations request | id=0fcf59ec-c2e5-4055-8804-a0b4951bf7fe | GET /recommendations/1 | status=200 | durationMs=31 | usersMs=26 | catalogMs=26
recommendations request | id=ccdb16d3-f4d3-4279-925c-81adb077d11b | GET /recommendations/1 | status=200 | durationMs=62 | usersMs=56 | catalogMs=55
recommendations request | id=f0b1a183-8f3b-4932-90cc-40009c1135ab | GET /recommendations/1 | status=200 | durationMs=18 | usersMs=13 | catalogMs=12
recommendations request | id=412b2c45-644f-498c-b427-fe42400013c6 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=4 | catalogMs=3
recommendations request | id=c4ca469a-36f3-453c-a5a8-587ce69ca67b | GET /recommendations/1 | status=200 | durationMs=16 | usersMs=3 | catalogMs=7
recommendations request | id=edfcd6db-7a28-4a25-8ef4-625400a625b0 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=2 | catalogMs=4
recommendations request | id=489b1b82-ee39-483f-8361-53376837a40c | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=4 | catalogMs=4
recommendations request | id=cc3b89ba-e6e8-459b-9e09-968b380c9bed | GET /recommendations/1 | status=200 | durationMs=12 | usersMs=2 | catalogMs=5
recommendations request | id=20daddad-0a4f-4bd3-9c91-979482e3e53c | GET /recommendations/1 | status=200 | durationMs=176 | usersMs=10 | catalogMs=64
recommendations request | id=c8c8fd1f-9051-4a43-a0bc-2f6883a37881 | GET /recommendations/1 | status=200 | durationMs=182 | usersMs=7 | catalogMs=172
recommendations request | id=1a3e4cdd-f8bc-489e-982a-448c5d429b41 | GET /recommendations/1 | status=200 | durationMs=31 | usersMs=27 | catalogMs=26
recommendations request | id=3bfd2b72-de02-4845-b4d7-b491f8bc87bd | GET /recommendations/1 | status=200 | durationMs=33 | usersMs=26 | catalogMs=30
recommendations request | id=19718fda-77d2-4560-ba18-f548dedcf1b9 | GET /recommendations/1 | status=200 | durationMs=39 | usersMs=25 | catalogMs=33
recommendations request | id=6e76aefc-3b84-43a9-a7fe-62995a0cf981 | GET /recommendations/1 | status=200 | durationMs=50 | usersMs=23 | catalogMs=35
recommendations request | id=a5a69a30-ab55-42c5-80e1-7fff0fe4bbd7 | GET /recommendations/1 | status=200 | durationMs=63 | usersMs=16 | catalogMs=52
recommendations request | id=136b7d0b-3f49-4ae6-a42a-4871fe38ef61 | GET /recommendations/1 | status=200 | durationMs=83 | usersMs=69 | catalogMs=70
recommendations request | id=c6ffad75-2f62-42d5-b107-f51b4e98a151 | GET /recommendations/1 | status=200 | durationMs=88 | usersMs=82 | catalogMs=83
recommendations request | id=5f623703-d977-4fac-acbd-e8429688393e | GET /recommendations/1 | status=200 | durationMs=93 | usersMs=81 | catalogMs=83
recommendations request | id=3c98eb24-eb86-4bb7-bfe5-23269b82bcd4 | GET /recommendations/1 | status=200 | durationMs=36 | usersMs=34 | catalogMs=33
recommendations request | id=50accd12-99d0-4cc1-a5bf-eb38dcc48e2b | GET /recommendations/1 | status=200 | durationMs=41 | usersMs=35 | catalogMs=35
recommendations request | id=96858d39-8c6f-4874-834c-121c84d4cc3b | GET /recommendations/1 | status=200 | durationMs=81 | usersMs=78 | catalogMs=67
recommendations request | id=0e0551e0-096d-4207-91cb-73bf6f93c189 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=2 | catalogMs=4
recommendations request | id=e9cae934-d26a-4c34-bd04-09280922cdb5 | GET /recommendations/1 | status=200 | durationMs=11 | usersMs=1 | catalogMs=7
recommendations request | id=374dee82-477c-4700-b7c1-e2a46a897b93 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=2
recommendations request | id=49e5ec69-54e4-4767-8afc-b7b53980a9bc | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=2 | catalogMs=3
recommendations request | id=818e541a-af91-46a0-819a-466c597a0ffb | GET /recommendations/1 | status=200 | durationMs=10 | usersMs=3 | catalogMs=3
recommendations request | id=beac3f5d-b545-4f6a-ac0a-cf37711fdde9 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=1 | catalogMs=5
recommendations request | id=d1cd3638-f162-4680-8ddf-955e623ad380 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=3 | catalogMs=5
recommendations request | id=eaaa2625-3571-4d2a-ab2e-aca454b3f4d4 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=5 | catalogMs=5
recommendations request | id=742e1bdc-068a-4050-adf9-93b4cf28e3f4 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=fa515434-a164-4207-bb61-d3de49f013e4 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=1b830ac1-983a-4775-9819-29f45f635b34 | GET /recommendations/1 | status=200 | durationMs=14 | usersMs=7 | catalogMs=7
recommendations request | id=b73f318a-1cbb-4e8a-8962-ff39c7c2a0b4 | GET /recommendations/1 | status=200 | durationMs=20 | usersMs=13 | catalogMs=15
recommendations request | id=4c157775-454f-407c-98f0-cc8f5740eeaf | GET /recommendations/1 | status=200 | durationMs=22 | usersMs=12 | catalogMs=20
recommendations request | id=1254d100-fc4c-4cff-8380-5b80bdc75d5e | GET /recommendations/1 | status=200 | durationMs=14 | usersMs=6 | catalogMs=11
recommendations request | id=12eda416-a1d3-4481-bd77-775dc162df35 | GET /recommendations/1 | status=200 | durationMs=17 | usersMs=9 | catalogMs=14
recommendations request | id=dfb3a453-9351-4d92-ada7-d14826196465 | GET /recommendations/1 | status=200 | durationMs=12 | usersMs=9 | catalogMs=9
recommendations request | id=f6e59bfc-d78e-41b0-909c-f24af5c8ec9f | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=3 | catalogMs=4
recommendations request | id=0037dd24-bb5b-49ba-b4b2-ae3980dec297 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=5 | catalogMs=4
recommendations request | id=ec5a97b2-bcf3-461e-9887-4ffb3bde2434 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=b9d43567-9941-4f08-8c85-2dae81e3b463 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=2 | catalogMs=3
recommendations request | id=2ace187f-3046-48c7-b13e-b3c95c71724b | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=3
recommendations request | id=1c840625-09b1-44de-924c-c9e0952d7bb1 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=9ceda3e7-b4c2-4c4b-a4f2-87fac94eedef | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=35bdc0f8-2094-41c3-be13-386ded3cdfff | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=3
recommendations request | id=651cb255-9843-4cde-8234-9b96ca752cc2 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=2
recommendations request | id=581f30fc-4562-414e-82b8-bea6cf11c74c | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=11fcc51c-9467-4269-b0f4-0718b79be620 | GET /recommendations/1 | status=200 | durationMs=11 | usersMs=1 | catalogMs=8
recommendations request | id=188a0029-a9f8-4b0e-b94a-ce9fea257ca1 | GET /recommendations/1 | status=200 | durationMs=10 | usersMs=6 | catalogMs=6
recommendations request | id=858e160e-9832-4256-924e-1069e218b9fb | GET /recommendations/1 | status=200 | durationMs=12 | usersMs=6 | catalogMs=10
recommendations request | id=82d92a1d-45ed-4eb1-80d9-e3008ce5a63b | GET /recommendations/1 | status=200 | durationMs=11 | usersMs=8 | catalogMs=7
recommendations request | id=3f9f9644-b764-489d-b710-2ed191ee2105 | GET /recommendations/1 | status=200 | durationMs=11 | usersMs=7 | catalogMs=8
recommendations request | id=5c6bf98f-435a-4a52-bec3-6b539f4407b6 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=3
recommendations request | id=6c273cec-480f-4365-b7b9-893be52bb2d6 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=3
recommendations request | id=3cb9cffc-a1a2-4705-b6bc-c9bdb2c2b50a | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=3
recommendations request | id=eff26aee-e45a-42fb-b44d-eb6b9d6acf8d | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=2
recommendations request | id=ba5bf6c2-e2fd-4a52-9935-4044dce09856 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=3
recommendations request | id=ced6d1f3-d593-40e8-90f3-649dd9d9c9b3 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=3
recommendations request | id=7b6d21ce-6cf1-4221-8ae3-f8cde37d22d5 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=4332869c-4861-4d23-94d8-b1f343eac872 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=2
recommendations request | id=4e06da87-e22a-4180-badc-53a181f6d976 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=2 | catalogMs=3
recommendations request | id=556579a2-fff2-4d9f-839e-b7d57c79cf11 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=5 | catalogMs=5
recommendations request | id=3467d9c3-314f-462d-ac34-d1129b3d7805 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=5 | catalogMs=5
recommendations request | id=5a83734d-0002-49fe-b4af-e95f34d56d46 | GET /recommendations/1 | status=200 | durationMs=12 | usersMs=4 | catalogMs=9
recommendations request | id=0db7c34e-9dcb-4213-89d3-6c7620b35e3e | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=4 | catalogMs=4
recommendations request | id=181f180b-e752-49fe-8a4c-6d8a9e1b927c | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=2
recommendations request | id=c26fda55-c068-492a-9ec1-6802db086e54 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=3
recommendations request | id=750ab011-11af-4aa3-82d8-2fda584b0463 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=3
recommendations request | id=436c1896-6879-42a2-b331-825d49248443 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=2
recommendations request | id=8d3fcf6f-d76a-410f-baae-300a8d94a146 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=5 | catalogMs=6
recommendations request | id=0dcbebc9-04a9-4fb7-ac80-6df720dcb849 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=3
recommendations request | id=5e9986b3-a511-47e6-969e-93f7f6423875 | GET /recommendations/1 | status=200 | durationMs=10 | usersMs=2 | catalogMs=5
recommendations request | id=b3acc319-ef41-4616-bf18-065186128bd0 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=3
recommendations request | id=8a90cd12-1bf8-46a4-9cef-1806d3ff9cc1 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=2 | catalogMs=4
recommendations request | id=dd5b158f-f6a4-4871-8fd8-ef78dfb0e370 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=3 | catalogMs=3
recommendations request | id=28957272-af03-431d-9194-5b1314a3b30f | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=1 | catalogMs=5
recommendations request | id=537a9cd3-c154-4ef1-98cb-9d034cd9ab66 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=2 | catalogMs=3
recommendations request | id=e5899177-b695-4dc2-9434-b9a6a9d85787 | GET /recommendations/1 | status=200 | durationMs=10 | usersMs=5 | catalogMs=8
recommendations request | id=d6214dbe-a30f-4c18-bac3-f81f66e34c9d | GET /recommendations/1 | status=200 | durationMs=14 | usersMs=4 | catalogMs=11
recommendations request | id=a1534345-172b-45cc-a4e0-5a679224a772 | GET /recommendations/1 | status=200 | durationMs=12 | usersMs=7 | catalogMs=8
recommendations request | id=cfb51005-2a95-4dea-b957-85ecdbb84e46 | GET /recommendations/1 | status=200 | durationMs=10 | usersMs=6 | catalogMs=6
recommendations request | id=02f6b360-6499-4c48-ae56-7ba490725171 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=5 | catalogMs=6
recommendations request | id=8f4d37b7-a43c-463d-9b8a-27f9ec701d75 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=2
recommendations request | id=989f308e-df8c-4d78-b81a-1595e7df62a4 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=2
recommendations request | id=00328e0e-3730-49a5-a057-8137b32e9239 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=2 | catalogMs=3
