recommendations listening on port 3003
recommendations request | id=3854eec6-f1f3-4ed5-9f8d-8d3fc76aaa74 | GET /recommendations/1 | status=200 | durationMs=31 | usersMs=26 | catalogMs=14
recommendations request | id=a2313c7d-6b09-406f-9fe8-9c2f1659921d | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=1740593e-b902-41cc-94de-d4f81de2ce3a | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=136ed68d-d0f0-4dff-8b92-c7344da3910c | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=2
recommendations request | id=4acbba6e-24a6-4077-bddc-6485d20738b8 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=b052a651-25ba-45ad-8d65-4189c2e1dd00 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=26a425e8-9552-4b64-a593-5012eaa761ed | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=2
recommendations request | id=5c8d5a63-a70c-4a55-afcf-8670be63414f | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=2ad7f73b-008f-4af8-bb3b-76305e2f1009 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=6586367b-df04-440f-981a-9565581cb3b9 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=3 | catalogMs=4
recommendations request | id=a615a378-4bce-45be-988b-f55f3e2911eb | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=5
recommendations request | id=544b05c4-7074-4d4c-9209-4f7ccc3cbc59 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=f01409dd-f491-4bc8-866d-4f951fc328e3 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=405d5a48-24d7-4b6e-9d4b-597d1fd48b79 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
recommendations request | id=ca30565e-89bf-4524-bb07-23f9f5804d65 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=de669cbb-0882-4a75-92c6-a67769a7cfd0 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=ddf556c4-f847-459a-b863-8705c0ab1fa4 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=1ac45ea7-63df-4bce-9778-cf51c367cf15 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
recommendations request | id=bfe57713-0ddc-484a-ae16-d0b293f296c0 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=97255351-ecc6-48b3-aedb-d589ce6ada6c | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=353665c2-7bac-4399-8212-17117efb8864 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=e51b9681-c0db-474d-9eb5-49257ddebf53 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
recommendations request | id=17e0a4cc-2b0b-4530-a902-781a42abbd67 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=a9e15d78-ba7c-4124-9a68-b6071b13f7cf | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=d031fa1e-c6e0-4c5d-9ce0-da85aa4e32fb | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=ea825a43-1c2d-440c-96ba-db383b270206 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=3
recommendations request | id=fb5cc22f-237c-4c35-bbc2-a0cfe1f387a6 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=edb75bc6-d120-4e43-b69a-eaf9bdb0a8e1 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=3
recommendations request | id=e60f1d4b-3e6c-42d4-9133-87fe37da83ed | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=2ffed9b3-ce2f-4d56-b3c5-dbed48447293 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=56fa82fa-3bb1-410e-bffe-b5451db2b1cd | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
recommendations request | id=0b2c9e75-53a1-4eeb-a73b-f1ea77ff8d14 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=81ac4628-31b7-4d6f-9de2-d4b79bde46bf | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=2 | catalogMs=4
recommendations request | id=7d78fe93-6a9e-43db-9298-82f027e608af | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=f5502e43-8d0b-4a3e-a48b-df2e304f115d | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=7caeef58-d6e6-415d-9c6f-5378844d8d19 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
recommendations request | id=2d74cebd-2db7-48f7-90f4-fe945522a410 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=6c46d116-76bb-4499-a503-133eea093f99 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=aba66e1d-20fe-49f8-85fc-1e2a64d83251 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=791b3a82-4631-481c-aa27-46625cb95af2 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
recommendations request | id=7b94ca6b-7c1d-4ae6-b9d1-a08490182b68 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=2 | catalogMs=1
recommendations request | id=df34bd98-9f59-4cff-b097-88976fda38a4 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=d6e45420-fcdf-4246-ab85-58bc58b6f0d0 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
recommendations request | id=3cbb7801-7982-4567-9790-690ae0458f83 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=b2cad0ba-33da-457f-bcfc-f3ef4efd3614 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=1b66b4f2-f90a-43d8-b308-f805e959ac41 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
recommendations request | id=fa9b8b22-d51b-4461-a228-ef9368aefd2f | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=d9b605bb-205d-4a59-8561-8acba981c991 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=2
recommendations request | id=17f219aa-6c3b-481c-a2e6-babb8c0b6f64 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
recommendations request | id=4675e200-5ed1-4086-906b-4f8cc07c68f1 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=6f3273ff-44bd-4a3b-8159-25a821c63409 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
recommendations request | id=310bb729-423d-4d8b-9271-87126b0c6276 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=1b2260fe-8504-48b9-81b2-3dc093f39057 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=dc2d470a-7027-4e76-ae4a-313d0ad9e0d5 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=1
recommendations request | id=2302a936-d474-43a8-8852-a5b80e32bc8d | GET /recommendations/1 | status=200 | durationMs=1 | usersMs=1 | catalogMs=1
recommendations request | id=7c0bcc93-c7a6-4d52-b655-7070c9b35165 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=c176d0fb-ce5e-4ddf-af4f-d4fdff938e79 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=38a2b602-e0aa-414d-86c9-8515fd802710 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=2a05c9d4-bcac-4e92-9bb4-33c9a8880785 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=37037907-cdea-47a4-803b-c329c9863efd | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
recommendations request | id=ca73f545-dca5-475a-bd77-5d02c376d5c4 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=9d74eb50-8f6e-4d4c-a04a-016592c79ab6 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=3ce781f8-138e-413d-87cc-993dce0d73b5 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=958efb5b-83a6-4dcb-8880-0d5c0d74c827 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=3319aac7-8e15-4002-b80e-fdcdc9af9b85 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=2
recommendations request | id=afdb8ad5-a18e-4e75-89fc-f3fcff903113 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=dc62778f-7f7f-4f5e-8f8c-54e32feaa21c | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=2
recommendations request | id=9bdd0482-f7d3-40e7-a2d9-e08fa5b1a717 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=26492856-99e8-4703-a42b-4e83a718fde8 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=1
recommendations request | id=43d45020-eb03-4a9d-84a8-7fd02f5e361a | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=3 | catalogMs=2
recommendations request | id=4dfff3dc-7625-4e33-8bbe-4a6baf57b12c | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=3
recommendations request | id=f84972f5-2d44-44ed-8132-493eff84d862 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=67f968e0-16d3-4f39-9cd0-8580cbbb49b4 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=6f96a865-d1ee-4f4a-a0c8-445a04803f7f | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=3
recommendations request | id=558aa2c0-4f41-49fc-8e4f-153ac556b2ad | GET /recommendations/1 | status=200 | durationMs=1 | usersMs=1 | catalogMs=1
recommendations request | id=f635c1d6-0d2b-4e39-9db6-61a0c38c48c9 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=6156ba30-1d9e-4e45-ba0c-9679517aa3fe | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=94a1ff31-e47c-4f67-9773-7006db2e096d | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
recommendations request | id=210983d5-4c08-4c0b-8975-235ed99d123b | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=3ec5a923-512f-4d14-afc6-7ed3459546d3 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=1e7c603f-77d0-4be0-aa1b-b75811c0a510 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=1
recommendations request | id=5a995441-0ebc-4c44-8b60-e34c955f0c71 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=e84f45dc-4e2c-4c39-a488-46038e146304 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=98cbf6ac-e680-4893-bc1c-24c27314e2e0 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=62c53831-4396-495c-acb7-191a902691f9 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=eabfa2f9-5e37-48b2-a46c-882900900886 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
recommendations request | id=30e82376-fc07-4b21-91e2-24dfa3d74d3f | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=846ef97e-3a07-4b85-b47f-ba089992e661 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=2
recommendations request | id=3ffc409c-309d-4d20-884f-a8475e12b99a | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=1287884b-5bb9-48c0-9833-83606ff98cf1 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=1
recommendations request | id=e6ae7452-e777-4e7d-88f8-39d2cbecb2fd | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=3 | catalogMs=2
recommendations request | id=71b48595-8fe4-4ae5-ba63-1b7910b79cc8 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
recommendations request | id=46413bc7-91b4-4f50-b7d2-daa4a139251e | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=1d4183b7-ba0b-4990-96bb-0d686347e785 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=70294f59-1249-405b-83a8-c655906001c3 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=b38df09e-f449-4bf5-9f2e-6d716e712a83 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=85d4dc3d-a194-4155-8d4f-b9a9e8c8933f | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=c194dffe-0b78-433f-abde-e32ca9b468f3 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=1
recommendations request | id=5eb086e8-a09c-40cd-81de-09e6dc265819 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=2
recommendations request | id=2c4000e5-5a4c-4972-b5f9-bf569b97bc6c | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=8706643d-8ed8-42c8-befc-89e970753e2e | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=3b3b3db1-39fd-486e-be85-a9dda5187572 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=5734b2bb-309f-4748-8bc6-cd38da5966aa | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=9e6e0e60-787a-48e9-aa1d-914d5d26ae92 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=59136c31-22bb-4cf1-a3b1-25784f7de820 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=e9edaea0-fcfa-476e-ba2f-eaadcd3780bd | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=ca1392b9-4eab-4f7e-8e39-0bbafc1f7659 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=2
recommendations request | id=23425c65-5c27-4530-9b7b-77bd1c478388 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
recommendations request | id=63dd1d4f-f491-446c-ac14-067cab23b56c | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
recommendations request | id=f72971d1-47b8-4f8a-bc10-1567437d58b2 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=c37a84a2-56e9-414c-837f-d4b76e0e136a | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=9cf1719f-fa50-453d-9488-adf4a3907827 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=68e1f6cc-66d6-4ed0-a98e-0d97dc32f01a | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=0
recommendations request | id=c02d5ae3-ba90-4e3f-afd6-5e866921184e | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=370e1d23-7068-4707-8a19-e43254bd5a7c | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=91cfd566-4e74-44ba-9355-1b73387779fc | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=5e075ba5-70d3-4140-97db-cf0f976ae964 | GET /recommendations/1 | status=200 | durationMs=1 | usersMs=0 | catalogMs=1
recommendations request | id=b0e1c409-321d-4375-908a-69b5d3c8a155 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=cc994a52-3e66-4956-aa76-58d3e96b8491 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
recommendations request | id=e54df253-beb1-4128-aa9f-8d50591ec22a | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=026ab4b5-f2b7-4bf1-be5c-d30f2e492b7b | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=15da9972-4eea-475a-93dd-ddf9b72c0b7b | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=051ad9ad-98cf-48ad-ac57-ec1790435848 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=a1dab9c0-de15-4919-81b8-259adb8dc809 | GET /recommendations/1 | status=200 | durationMs=1 | usersMs=1 | catalogMs=1
recommendations request | id=53db6613-28b3-4f5f-9590-097a473ff736 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=01eedfc9-6e6d-46e1-91dd-307291932472 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=e38c42d9-6657-4b99-8b67-35449363f535 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=ceac4486-522a-470d-bcb7-0988e19b5acb | GET /recommendations/1 | status=200 | durationMs=22 | usersMs=16 | catalogMs=22
recommendations request | id=a0d9ee3c-a48f-4c50-ab8a-8be78e50ae34 | GET /recommendations/1 | status=200 | durationMs=1 | usersMs=1 | catalogMs=1
recommendations request | id=f474fe8b-b915-41b9-8859-684d98330eaa | GET /recommendations/1 | status=200 | durationMs=1 | usersMs=0 | catalogMs=1
recommendations request | id=e435b064-5136-4e06-8129-69e79f98e978 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=1910a912-57b7-4467-86a4-75e648d45fd7 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=43c598dd-a485-49b0-a5a8-07370fede05a | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=21c2d97e-7bc1-412b-9514-988e182927d6 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=a68cd56c-2f3d-4b96-87fb-fcc5eb1b7a02 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=3
recommendations request | id=ded73bea-cc0b-492c-ac5f-612c4a6c262e | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=3
recommendations request | id=3161fcc0-3e01-4557-992e-071610594045 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=1e905354-958a-4aa7-a67b-87f55224e637 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=0b938880-76df-4f48-8fec-b7dad2e67ee7 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=8bf74646-c33e-4cd2-a07f-c363708d6fe6 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=091da868-08d0-4705-bc99-ce5d197df95e | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=e4ca3709-021d-4413-91ba-59a554f5dd2e | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
recommendations request | id=1c665bf1-3edf-418c-bfc6-2c615abb4d5a | GET /recommendations/1 | status=200 | durationMs=16 | usersMs=15 | catalogMs=16
recommendations request | id=f386f53c-1ec9-4dce-9a96-f6ecdf105ae5 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=0
recommendations request | id=2c3b7419-9634-4a9f-bda2-fec07c950585 | GET /recommendations/1 | status=200 | durationMs=1 | usersMs=1 | catalogMs=1
recommendations request | id=2f080976-02ba-4b8a-9ef7-a97b6ab32042 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=0c1a0567-821f-4901-8f08-6885100b238c | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=3
recommendations request | id=d63aeb01-5d23-43ce-97df-c0236e1bb879 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=2 | catalogMs=2
recommendations request | id=f17c3070-476e-4498-b7bd-d4a5270312c4 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=34bd9254-af44-4d76-9db3-984f5e60206d | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
recommendations request | id=e05ea37c-2329-4f34-a924-bd1fbb711284 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=f19a410f-79c3-4bab-8d4e-3b6297db05de | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=4e1c13dc-c8a0-4b04-b547-2bb564664942 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=2af525fd-5ab0-4e7c-bfe3-c709e659e90c | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=3
recommendations request | id=c16a5c48-0fe6-48c6-bac9-7641e892fde5 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=a4b38603-a1d4-4d03-be25-04b4b46799a0 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=4ac21120-e1e7-4562-8ee5-c8bb3a24aeba | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=3 | catalogMs=4
recommendations request | id=bab33645-e8c0-496f-9060-7c01fcf8ce36 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=3
recommendations request | id=824576c9-9f17-4199-9c66-84e1e5279b00 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=3
recommendations request | id=d7f13d36-6be2-408f-91ab-dcb81b48b62e | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=673ea134-7167-4928-9531-03892f387757 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=4 | catalogMs=2
recommendations request | id=36ceaee2-8a7c-4178-9aae-c168d758af81 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
