gateway listening on port 3000
gateway request | id=3f49c99a-ebfc-4d4f-b4e2-49989e481a64 | GET /health | status=200 | durationMs=7 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=04112667-728d-483c-bdfb-603e45e74ea9 | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=904d7ebe-9527-4bec-9a1d-9d0f6f27a356 | GET /api/recommendations/1 | status=200 | durationMs=14 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=6bfcc96d-48f0-4636-aa7e-e4025ad63aa2 | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=d65b66c8-bd71-409a-b497-83d4cae73a53 | GET /api/recommendations/1 | status=200 | durationMs=14 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=f42825ff-b822-4381-8c84-34988897571a | GET /api/recommendations/1 | status=200 | durationMs=15 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=d4e7c95f-b772-4cf0-949f-ec74c87fa3e9 | GET /api/recommendations/1 | status=200 | durationMs=13 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=f9f92941-2604-4ec2-9a3b-b540f5921e9c | GET /api/recommendations/1 | status=200 | durationMs=14 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=b13b41ef-ce81-4440-a831-2e7855c0cb03 | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=2cafc5ad-e4e0-4b8b-b085-c741c5f4e2a4 | GET /api/recommendations/1 | status=200 | durationMs=10 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=b3b819b3-7fed-4b5c-824d-5740e0ba504c | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=ddf0e84e-d27a-4de9-9da2-9a7f8dad1ebb | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=cc00b00d-911e-41b4-b89e-3b8e918d0906 | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=c2928c9c-3bf7-445b-83f0-ce008752232a | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=190c776e-317b-4832-86c6-7753daa0fa83 | GET /api/recommendations/1 | status=200 | durationMs=10 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=8fa0a221-3427-430a-89ee-44433553833e | GET /api/recommendations/1 | status=200 | durationMs=15 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=2383e996-16d2-454f-9e46-4177c1f9fbc1 | GET /api/recommendations/1 | status=200 | durationMs=18 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=b46e8586-b730-4d5c-ac1c-bce323a171cf | GET /api/recommendations/1 | status=200 | durationMs=15 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=3c6d5d49-1b2f-41ea-8bd3-53456f593c93 | GET /api/recommendations/1 | status=200 | durationMs=16 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=5e5869c5-9f4b-4bcc-bacd-326b25c243a2 | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=8ba667e1-7939-4f08-b490-10db5969ab8f | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=26afa28d-5a1f-4659-ac06-52c694df9f63 | GET /api/recommendations/1 | status=200 | durationMs=9 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=0acc36bf-7d11-4990-b7e3-7d1894885343 | GET /api/recommendations/1 | status=200 | durationMs=10 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=617f467b-9582-4d25-8a32-ca4176a97311 | GET /api/recommendations/1 | status=200 | durationMs=12 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=472f41e5-72d1-4c60-aff6-f623f1fe6d6f | GET /api/recommendations/1 | status=200 | durationMs=13 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=e0c09789-8115-416f-bede-21bfacb49a1f | GET /api/recommendations/1 | status=200 | durationMs=10 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=68b97130-a76e-440c-a3f8-b1df30bb091f | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=bf963f4f-d0e4-408a-a4e3-53f00b3d95ba | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=7f915cfe-638e-4d83-93ae-452f4e221cd0 | GET /api/recommendations/1 | status=200 | durationMs=10 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=cf37e860-7e26-4259-82d1-dca9332ce667 | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=6cf84d43-e7a3-4619-b153-6cf110b0409f | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=b855b327-0269-45e1-886e-182a05546232 | GET /api/recommendations/1 | status=200 | durationMs=9 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=565f2768-b353-495d-8f69-3a8071ba430a | GET /api/recommendations/1 | status=200 | durationMs=12 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=a6c790be-2919-4e40-9bcf-2154d9744ff1 | GET /api/recommendations/1 | status=200 | durationMs=10 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=34ad2800-0a40-494b-96a2-919d3d1a41b8 | GET /api/recommendations/1 | status=200 | durationMs=9 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=921ef90a-0e70-4835-b95c-d0c13eb6651c | GET /api/recommendations/1 | status=200 | durationMs=10 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=0d89ec43-4ed7-4f09-a88a-b8eb22f07937 | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=a25571a9-44f2-471f-8300-fe356a19e9a2 | GET /api/recommendations/1 | status=200 | durationMs=9 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=34d1837a-f403-4459-b106-bdc58e28b5b0 | GET /api/recommendations/1 | status=200 | durationMs=9 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=5c726982-4da3-4354-9bbb-f72f7c0f7255 | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=1b956514-ec79-4c00-833c-7d99f82ffeba | GET /api/recommendations/1 | status=200 | durationMs=10 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=4d481f0d-17f7-4d7a-a570-358d5252560a | GET /api/recommendations/1 | status=200 | durationMs=10 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=9d432474-dede-4b71-94de-3406224a574f | GET /api/recommendations/1 | status=200 | durationMs=9 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=c98cbe0c-59d2-4d87-97a9-d52c2b0e8ae2 | GET /api/recommendations/1 | status=200 | durationMs=10 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=4f263486-4f91-488d-8b80-f11a6388bdec | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=25c62c6a-d40c-4479-9814-251811385f6f | GET /api/recommendations/1 | status=200 | durationMs=10 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=cc8e29af-50a1-4a69-93b2-78a3d26d5b55 | GET /api/recommendations/1 | status=200 | durationMs=13 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=4de19d86-9134-4dfa-b057-ede11f37af1e | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=a6374300-01b0-4eed-93ef-1081c36e790c | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=677616d5-f2e1-4bd4-962b-55174af98f6d | GET /api/recommendations/1 | status=200 | durationMs=10 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=1b5ce031-5010-4cae-9a3c-73d3ef5a72ea | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=4f349423-4c26-4fda-b802-a67b36aee31b | GET /api/recommendations/1 | status=200 | durationMs=10 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=9600d54f-6c63-40ad-96eb-fdd24ac80d22 | GET /api/recommendations/1 | status=200 | durationMs=9 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=74edd4dc-78ef-4f66-abc0-53af580a8593 | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=417c70f6-4eb3-452d-a645-547532c580bc | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=0bc110bf-a119-4476-8cdc-d3162b99033d | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=75508b1c-13d2-4b62-b476-dd91be1c7c66 | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=d2164bf8-ec55-4080-93e5-b7e4d773a3ef | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=b923c846-0d31-4534-90b6-c4b5a181b59f | GET /api/recommendations/1 | status=200 | durationMs=13 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=9dbf995f-fd3c-4a46-9712-b64b92c07259 | GET /api/recommendations/1 | status=200 | durationMs=12 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=3696f815-bd2c-46e8-8d64-4752a1c8f817 | GET /api/recommendations/1 | status=200 | durationMs=16 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=ee43ea7f-2a16-429b-9390-3b86b861dc5d | GET /api/recommendations/1 | status=200 | durationMs=15 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=6d8a20d8-2f7e-40b7-841d-12d3da9a0a15 | GET /api/recommendations/1 | status=200 | durationMs=13 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=9fa54025-ed65-4454-877d-5af1b2bbbfa2 | GET /api/recommendations/1 | status=200 | durationMs=14 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=702e0eae-1e1f-4710-855e-e6da0b3ce4bf | GET /api/recommendations/1 | status=200 | durationMs=14 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=e22f5251-ac1f-47eb-82b0-e6b6abf16d0a | GET /api/recommendations/1 | status=200 | durationMs=18 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=514c6103-b7c0-4dc4-88ea-0f4debff267d | GET /api/recommendations/1 | status=200 | durationMs=21 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=bcae8b3e-6b39-41d7-84cb-d05357ef0a15 | GET /api/recommendations/1 | status=200 | durationMs=22 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=0c2067af-b08d-4e6a-95c2-540a02a40f78 | GET /api/recommendations/1 | status=200 | durationMs=15 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=d64a63af-20d7-4c1c-b6a2-262d7e5debb7 | GET /api/recommendations/1 | status=200 | durationMs=21 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=51116eca-a4b3-4aa0-9711-4f87202cf703 | GET /api/recommendations/1 | status=200 | durationMs=18 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=946b4fa6-9756-4d2a-a2da-7e1bbe2cff33 | GET /api/recommendations/1 | status=200 | durationMs=34 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=a76de36e-a2db-4461-b1ba-e973447e5df7 | GET /api/recommendations/1 | status=200 | durationMs=40 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=4470d115-283b-4002-b425-52ff6c0dad42 | GET /api/recommendations/1 | status=200 | durationMs=39 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=8bea6eca-8c92-4294-a7d8-7858f7d1b881 | GET /api/recommendations/1 | status=200 | durationMs=34 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=80a10f45-56d5-49b5-91a4-cca7adcb2a62 | GET /api/recommendations/1 | status=200 | durationMs=54 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=f6bba789-6ae7-40c4-b17b-f400d0762fcc | GET /api/recommendations/1 | status=200 | durationMs=32 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=053977ab-1e86-4bdf-b8fb-ed2a00f0d1d7 | GET /api/recommendations/1 | status=200 | durationMs=25 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=626f08cf-3275-49c4-9230-ef08a847fc2d | GET /api/recommendations/1 | status=200 | durationMs=36 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=333f9255-3fda-4891-81b2-1cb37fdff311 | GET /api/recommendations/1 | status=200 | durationMs=34 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=d73e38a5-0cfd-428a-a7c1-bcc9d330d926 | GET /api/recommendations/1 | status=200 | durationMs=43 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=ff3665e0-0586-4da6-aaca-0a67080d9d8f | GET /api/recommendations/1 | status=200 | durationMs=37 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=c3d6b3f6-78ca-4ba0-aeba-b6eb3087aed6 | GET /api/recommendations/1 | status=200 | durationMs=35 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=66c5915a-038f-41be-b81b-587cb75bfb31 | GET /api/recommendations/1 | status=200 | durationMs=28 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=5b0bf914-b13e-4df0-af54-dd782a86829f | GET /api/recommendations/1 | status=200 | durationMs=15 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=2dbea3a6-8825-4b7d-b697-a9106e6b7faf | GET /api/recommendations/1 | status=200 | durationMs=18 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=6a3ef309-9e42-439f-905d-e4fcb0c44f98 | GET /api/recommendations/1 | status=200 | durationMs=13 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=5d4e010b-3b59-4e62-a124-5cc861221082 | GET /api/recommendations/1 | status=200 | durationMs=18 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=786ec77f-e820-437e-8f42-6c7c26cc7ee4 | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=1cf47318-8d3c-4cd6-8b4f-3896494ba31f | GET /api/recommendations/1 | status=200 | durationMs=13 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=f2b6f870-d968-4fa7-80a0-c0b8d578cd6d | GET /api/recommendations/1 | status=200 | durationMs=20 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=cfd8c347-8eaf-437d-bda9-52acfa648b65 | GET /api/recommendations/1 | status=200 | durationMs=32 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=7bd5712e-d92d-4126-8bcb-ff38a393ebc0 | GET /api/recommendations/1 | status=200 | durationMs=35 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=61e2d0bb-761d-47fb-b741-ae59b8fa5daf | GET /api/recommendations/1 | status=200 | durationMs=17 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=a7d38f7a-1197-43cd-b59b-9e3275282621 | GET /api/recommendations/1 | status=200 | durationMs=19 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=d07bcc41-495a-4cb4-b19e-4f453bbefe67 | GET /api/recommendations/1 | status=200 | durationMs=23 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=5b62a432-2aba-4eba-8fec-a4980709395f | GET /api/recommendations/1 | status=200 | durationMs=26 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=4319c7dd-0f1b-4711-9086-f73d9634ea56 | GET /api/recommendations/1 | status=200 | durationMs=35 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=44391770-80e6-4f20-bc19-e2b20e09ee83 | GET /api/recommendations/1 | status=200 | durationMs=22 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=d8e1d2ec-1ec6-4259-9877-19f84043625d | GET /api/recommendations/1 | status=200 | durationMs=19 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=2eae4b8e-071e-45ad-b017-cad7b52b0942 | GET /api/recommendations/1 | status=200 | durationMs=17 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=81b855b4-911a-4954-bb87-2a6b00037891 | GET /api/recommendations/1 | status=200 | durationMs=19 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=91c8020f-2665-4dd9-bf04-adf7319dce13 | GET /api/recommendations/1 | status=200 | durationMs=14 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=579b24cf-232d-4751-9f1e-0d2a319c6746 | GET /api/recommendations/1 | status=200 | durationMs=16 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=99e1619c-31ac-4d09-bfae-5e2ed86e4808 | GET /api/recommendations/1 | status=200 | durationMs=13 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=388260da-f84c-482c-8fb9-a83510de5c50 | GET /api/recommendations/1 | status=200 | durationMs=14 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=b5d1e533-1100-4c8d-a9ac-153b39c9de9a | GET /api/recommendations/1 | status=200 | durationMs=15 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=09cb83b1-5f2f-423f-8f41-b35dde1ced50 | GET /api/recommendations/1 | status=200 | durationMs=14 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=9726467b-40e3-4965-af71-0743987630d5 | GET /api/recommendations/1 | status=200 | durationMs=13 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=8297a839-f866-4eea-a435-2db91c80fd36 | GET /api/recommendations/1 | status=200 | durationMs=16 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=f1947e9f-1241-4e23-aadd-b28323866d83 | GET /api/recommendations/1 | status=200 | durationMs=15 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=97b2fc6a-b541-4af6-a211-f4ff029baf7a | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=79be7717-4e93-43c8-aef6-4a9faf34942e | GET /api/recommendations/1 | status=200 | durationMs=15 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=c649582d-3e51-449d-81e1-2baabf4a3ee5 | GET /api/recommendations/1 | status=200 | durationMs=13 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=e11141cd-f0a1-4de2-b796-b4b23b21848a | GET /api/recommendations/1 | status=200 | durationMs=16 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=eb4087dc-4470-4d48-a975-80db38aae2a9 | GET /api/recommendations/1 | status=200 | durationMs=12 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=550426fa-3b7a-4c17-8b42-9539c3aad71e | GET /api/recommendations/1 | status=200 | durationMs=14 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=8872eb6a-ce17-4ac2-9fb5-b62ca01ad0b2 | GET /api/recommendations/1 | status=200 | durationMs=17 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=e8d5491d-f67d-45f6-bc55-d74a5a32ebc6 | GET /api/recommendations/1 | status=200 | durationMs=14 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=f00b368f-ba27-438c-9fbc-3e39b4b02ad2 | GET /api/recommendations/1 | status=200 | durationMs=14 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=62e4f499-b7cf-42c1-9444-dc1739bfe7e0 | GET /api/recommendations/1 | status=200 | durationMs=14 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=44818fe5-dce9-4c5b-b4bc-8468e408a0a4 | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=2a488171-7511-4e18-80d9-988c10cb7260 | GET /api/recommendations/1 | status=200 | durationMs=12 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=8c0a1da9-80b0-42dc-a90b-479220e9b17e | GET /api/recommendations/1 | status=200 | durationMs=13 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=367a300a-dd5b-4b45-aed2-d6687ab9125c | GET /api/recommendations/1 | status=200 | durationMs=12 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=1a27c126-e9ea-48c8-9b0c-da481f107c35 | GET /api/recommendations/1 | status=200 | durationMs=13 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=5ed12fc8-1879-4a36-aaa5-91dfca181bdf | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=83871ee1-1223-486a-ad8a-b4190b87cd34 | GET /api/recommendations/1 | status=200 | durationMs=14 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=acf578ec-ef42-43d5-b93d-55ee8ca2683d | GET /api/recommendations/1 | status=200 | durationMs=10 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=cd29ac45-ddcf-40ba-90c0-b3746b5cc68b | GET /api/recommendations/1 | status=200 | durationMs=10 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=39e488e3-c670-4ac6-b64d-7e21f2e53822 | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=a7b29dfa-88a0-4bca-bcef-c0985a0ed353 | GET /api/recommendations/1 | status=200 | durationMs=12 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=31431742-c8d7-40da-a65d-7b0804e79c0d | GET /api/recommendations/1 | status=200 | durationMs=12 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=c93d07bc-8a9f-457d-be84-701a9fb746ed | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=26578b52-fe47-4e75-9c7c-5e145f81de0e | GET /api/recommendations/1 | status=200 | durationMs=10 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=4b78e02d-f813-494c-abd4-057155b07aa6 | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=71e39aa5-3b2c-439f-b871-f843513b4eca | GET /api/recommendations/1 | status=200 | durationMs=10 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=9e3abe2b-c5a1-4f54-b0f2-eb41e7511c36 | GET /api/recommendations/1 | status=200 | durationMs=10 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=bbb348fc-59e4-486d-89cf-ffd25c46fdf6 | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=b00a6d7d-4c4b-4fb6-baa8-82cb0383aa04 | GET /api/recommendations/1 | status=200 | durationMs=10 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=75d400b2-34a1-429a-b444-a164ffafb9ec | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=5544d58c-39e6-41d0-bc80-8f20956a0dd8 | GET /api/recommendations/1 | status=200 | durationMs=12 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=ecc3ec4f-3cd3-44ef-b219-420f2705f603 | GET /api/recommendations/1 | status=200 | durationMs=13 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=ffb35369-7cc9-4981-8fdf-5d84e449ef50 | GET /api/recommendations/1 | status=200 | durationMs=13 | upstream=recommendations | cache=n/a | source=n/a
