recommendations listening on port 3003
recommendations request | id=7c9cea9c-f47a-4909-bca3-878955c78b01 | GET /health | status=200 | durationMs=3 | usersMs=n/a | catalogMs=n/a
recommendations request | id=e38e9075-9122-4147-aaf6-ea69adee760e | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=900bee73-3e27-4063-aaaa-03d61355af4e | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=6a958e2c-5bbc-4c27-9cd4-51efcd969dc3 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=dad63511-9830-4095-876c-a4881f294a5c | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=3
recommendations request | id=d5d3247a-8b75-4e11-a064-f038e4e1ce11 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=33346606-2157-48ab-8944-c5189bf62d2d | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=3 | catalogMs=3
recommendations request | id=de167cec-c4f6-45f0-8403-d8c3636901fa | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=9133bbb4-fbb8-4dae-9494-5d2b1c60fb65 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=1
recommendations request | id=7705b42d-a9c4-48f4-8cc8-0abc98240007 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=4ad8b71a-beb0-4244-a0fb-80a9c4225647 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=2
recommendations request | id=67b8b479-adc5-492f-b2af-65cd437e6d61 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=0a727d96-f166-41a9-ab3b-ea839628b709 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=1
recommendations request | id=6cc0ee41-dfa2-40cc-a72a-4c6030069e9d | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=1
recommendations request | id=e938acc9-6b10-4828-9319-c724639d6824 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=dc084e61-61d2-4b7b-b872-c69e84956e1c | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=0c47c1d5-9db6-424a-83f5-75e28c7c2510 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=4
recommendations request | id=8c2facba-a19f-493f-9b59-6beec4bf3d84 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=fadf5700-67d4-48cc-9601-d3bfed13d7e5 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=741174aa-bf0c-4b70-a8e6-e26db59d61f2 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=3
recommendations request | id=62ee3935-948e-43df-9c51-eb7d7eaf1043 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=3
recommendations request | id=29601200-e5e7-4088-bfe9-62c300620c0e | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=cd71289a-281b-465c-bb75-1efb094f55d4 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=3 | catalogMs=3
recommendations request | id=754ed7fb-a123-41cb-833c-242fb9aa18f4 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=1
recommendations request | id=bd8145c7-8bd4-4167-83af-11c45edf45f7 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=ecab1eb7-9c83-49bb-a16c-f83903e2114a | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=db0df4e7-685b-4736-bf55-cc4663e8ac14 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=cea4bf05-0e88-441d-a103-077f3cbff201 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=9ecf2c41-99e0-4d3f-820a-a8c85d493324 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=9aad08e4-2d89-40bd-89d5-be1a9d7e3321 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=7ec952d6-f45e-401e-81af-be1c384bd4a8 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=0a644ee7-ed62-4820-8898-3156e9e27c26 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=3 | catalogMs=4
recommendations request | id=28e784dd-044e-41d5-a1ad-a694a9077cd4 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=2
recommendations request | id=9a0cc324-6535-4fa6-9701-3f667d116270 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=c63121ad-d04d-493e-b46b-5c90ae77127b | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=1
recommendations request | id=925516ee-b1cf-4bef-9a8a-a58b248b4049 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=fbf5f8a4-d1a4-4d71-accd-bb7c9ee036da | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=6d0f85fb-6bec-4a94-ad70-464c29ecdb1a | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=1
recommendations request | id=76472c6d-b09d-4767-9eac-f573b00c9550 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=569be96b-3254-4337-b5a7-8283835c4ec7 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=48c3ffb1-11cb-4d40-a0b5-d57fb1cc2511 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=ffcfcf8e-a55b-4fb8-af89-ce5dc13ed27c | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=6668db03-973b-4f61-9d9a-c2e27b23e464 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=77f7fc36-fbfd-4d12-9290-f48a38a4c679 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=0c1ef5fa-e825-4c36-9971-bf3a1bfa2585 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=112419ab-411d-4277-96ba-7650bc8fb02e | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=b762ea9a-cf14-4055-95a9-ce666aabcb5e | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=1
recommendations request | id=21490f9c-2e17-49e3-9d30-eaa45b499697 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=0 | catalogMs=2
recommendations request | id=e9f0ffbc-6f83-4e5e-b4ae-e0e572b5f43e | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=043c4936-b54d-4121-9b63-8624c6022268 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=2e1a2de9-076f-4f67-a79f-d8714a87c586 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=1
recommendations request | id=3837f638-a622-4dc5-8b4d-46b37c098377 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=1d3cee60-e510-454e-9ce4-95f7dd45f083 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=91ac205d-d085-45ae-aca4-6f2e33de53c7 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=5195502d-3da9-49c3-b6c7-430d7abd0208 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=2 | catalogMs=2
recommendations request | id=50d6ae24-2722-495d-944f-840e3d8e6530 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=b3f76a70-7427-418e-b5a3-289f1de2f174 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=925abfee-8080-4ab6-91f8-946c08c1ecab | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=599852ec-8d76-4cc3-81ff-d766111aa93a | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=95c6eca3-f3ef-427c-a532-885fb476a8f1 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=e315ef1a-cb1e-45ab-957f-e204a5938efc | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=0 | catalogMs=2
recommendations request | id=de56743b-89c6-4bd4-a1bc-3b1342d8b74b | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=5d92401e-d803-482f-bf69-8d575dceb7de | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=357e1ff7-d6cd-46c7-9afd-d827f4d5de8b | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=74cd1ccd-6118-43ab-940e-942f6b2d75d9 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=83902544-cbee-48a8-bb4a-66600403a1bb | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=0 | catalogMs=2
recommendations request | id=57a47d14-2e11-4bbd-ae10-27ebce4abeac | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=6c083405-5604-4ca5-a34b-1a4da4adfa32 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=c5f74d18-38e0-4412-a509-5de8c8aa7ae8 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=01bd1cfa-486d-4927-b52e-0d0a8c76aa0d | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=13d3fc78-c0a4-4066-b2ea-601cb4189c20 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=caa57c56-7217-4f65-a24f-c3400d97c5db | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=1f05a269-d7ee-4edf-89ec-a1dd4ce49cae | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=77e35327-8eb0-4096-8eeb-ef7de2847b0c | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=e6c19f8d-5848-4f51-a1b6-f5e24d020dba | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=cf4c26b4-16aa-487e-a621-f63fc0cfdf12 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=9eb69632-d49b-44a6-a656-e7ba5f602b7d | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
recommendations request | id=9082eb36-fdae-41f9-bdf7-d20fe9d3e69c | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=ecdd57f3-3cd3-4ec6-a8a0-4dbbac0747e3 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=c2faeeeb-feaa-481a-9a1e-ed92863a7e51 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=1
recommendations request | id=358ecfa5-2d4c-4217-aa58-4cd2929d01c5 | GET /recommendations/1 | status=200 | durationMs=78 | usersMs=25 | catalogMs=54
recommendations request | id=045365c8-e85f-4bf7-b02d-4223628f0d24 | GET /recommendations/1 | status=200 | durationMs=74 | usersMs=49 | catalogMs=72
recommendations request | id=4ce30e03-6a58-40d3-8a89-7992bfe61479 | GET /recommendations/1 | status=200 | durationMs=75 | usersMs=50 | catalogMs=73
recommendations request | id=43676b0a-7ace-4aa5-a5be-31783a29939a | GET /recommendations/1 | status=200 | durationMs=74 | usersMs=70 | catalogMs=72
recommendations request | id=c2a85d12-75dc-4f48-9e27-1a852d8dfa40 | GET /recommendations/1 | status=200 | durationMs=63 | usersMs=62 | catalogMs=32
recommendations request | id=bb094065-fd8c-4cc0-b1d6-39a874055ac2 | GET /recommendations/1 | status=200 | durationMs=33 | usersMs=26 | catalogMs=31
recommendations request | id=9ccc2416-c90c-4103-bb05-1d5965752a1e | GET /recommendations/1 | status=200 | durationMs=38 | usersMs=27 | catalogMs=32
recommendations request | id=f35bd7c4-f654-41ec-8864-0819d4cd60be | GET /recommendations/1 | status=200 | durationMs=21 | usersMs=11 | catalogMs=18
recommendations request | id=c5317d44-a28f-4d2f-baaa-0bb9354b28f0 | GET /recommendations/1 | status=200 | durationMs=21 | usersMs=9 | catalogMs=19
recommendations request | id=b348ff5b-eef3-43a2-8374-6f8543b6930a | GET /recommendations/1 | status=200 | durationMs=23 | usersMs=9 | catalogMs=21
recommendations request | id=f178f0cf-39b5-495e-bf5e-dda2841d2e9b | GET /recommendations/1 | status=200 | durationMs=20 | usersMs=2 | catalogMs=17
recommendations request | id=307c529b-849c-48cb-861e-04a6fbf459b7 | GET /recommendations/1 | status=200 | durationMs=27 | usersMs=10 | catalogMs=25
recommendations request | id=4c968ffb-25d9-407b-afcf-8d2193bbbbec | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=562481b8-7b01-41f6-84f8-5c477292d9a8 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=2421a689-cebb-4288-ad24-974433ede3bf | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=ffd221e6-488c-49ff-bf4f-6c995d840927 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=f39e822f-ac0e-466b-b001-c5e3f9d9ad42 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=7bfbb5f2-8a54-4382-8c98-218a67e4833a | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=a07cda58-d102-4ab5-88b2-16c896141cf2 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=2bfb47ee-d1af-4cf4-97aa-c865cc92b918 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=3a0541d0-31c5-42da-b778-337ef2fa4cc0 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=3
recommendations request | id=159acf08-3903-474c-86bd-d97f277f8498 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=3 | catalogMs=3
recommendations request | id=9e21f788-7a07-4169-a3af-316f16f206a7 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=c4e46e62-9daf-4b05-9a1a-5a50fb31ee78 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=2
recommendations request | id=c563748a-115f-4332-a006-1a737c5a4065 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=979a8d22-ca1f-4905-8ce2-0fd5c49861fe | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=e0b86601-804e-4160-9386-583ad797ba35 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=eb107a4c-c763-4f85-914f-e6adb0d80ae6 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=aa7a27b4-8cb0-4036-b533-71d37d23f545 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=24b25645-68d8-4233-bc8f-60b2d544b975 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=e7172255-bf5d-4432-a0f3-0174375752bb | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=8537db93-0cca-4c3a-b6e5-4e41fed3428b | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=1
recommendations request | id=d26c41d8-e182-4c09-85c0-fde1bc38ca08 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=0 | catalogMs=1
recommendations request | id=a865900c-eaf2-4e73-8d3b-230140c82438 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=1
recommendations request | id=4affc476-8aec-4634-8a9c-7f9b24ce5936 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=7fc1353d-daf1-4281-835b-94b04b8727fe | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=1
recommendations request | id=b421e124-02a0-4836-b1b3-266e482e5334 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=faabcc7a-de8c-408e-9548-f29e1dddbd6e | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=226e4c92-b404-4e01-a2c3-e52630a35c83 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=399eb992-3256-44e2-aeab-d7fda9f6dd7e | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=072d5632-54a2-4673-bb14-fbf5981587e8 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=0cc7594e-809d-43bb-8709-9e131b593bf3 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=0
recommendations request | id=eb7e70c8-3b72-46f7-83de-c27d217e2fdd | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=77379922-3883-4f03-afbd-2dd2825412e5 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=d1b3195d-eb1b-4efe-b6c7-ab30aa14cf39 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=f08060f1-41b3-411b-b51b-56931d606be4 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=83ca60f2-cfaa-4a87-bee4-175c6db54256 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=2
recommendations request | id=c52a0580-f36b-44d6-b4cb-04d88a6589a9 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=8592e976-b1b4-4f87-bd9c-f33526347255 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=f393a39e-5473-4f93-8dae-ebdd1fdc43d5 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=1
recommendations request | id=37a73bdd-19e5-418d-8b76-748f94fc549a | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=fe860f13-2b44-4776-a33e-d4f15b23ce61 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=0 | catalogMs=2
recommendations request | id=096d0342-9364-41dd-ad58-f12dd22d8096 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=66ed8bf5-7d91-4810-88de-427ed06c231c | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=40290cd8-67e5-46aa-ad25-8311d4416159 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=b45a8598-266c-4ac0-9e60-c33e92ac6bf1 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=02d00bdd-dad1-4ed0-898b-a45c2954e752 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=6a28da49-4cbf-4bea-95a1-874b12b695d0 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=db681d22-f506-43f7-b97b-e1d9938595f5 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=2
recommendations request | id=3ed07900-636c-475a-9c70-197a0297880d | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=fdbe8aae-208a-4258-bbc4-5157fa0e23d6 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=247ccc72-e8eb-47a0-8a63-03dca4c693c4 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=eb3a77da-32ab-4ba3-9a3b-3783337af16e | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=9e75e69e-0063-4716-a9d3-1c587fc03ae8 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=f02cf413-bef8-472d-8cb4-21dbad2f25ca | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=3
recommendations request | id=2e176dd4-2222-4ce7-b922-0a1a3b06adea | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=67f2f0ca-2d1f-4724-965c-273a1c9cc314 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=455e8e98-0cb2-4fae-a224-51ee0bfc0369 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=7cafe7bf-6d9f-471f-b042-07b0419cbd7f | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=1
recommendations request | id=19fb19a4-2c67-4c12-a1d1-49fc13a783ec | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=0 | catalogMs=1
recommendations request | id=b1dcfc28-1609-422d-9ae8-790475752339 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=5f028f8e-a11c-43a3-9d27-3befd59fb4a5 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
recommendations request | id=edd57dd6-8746-42b3-a850-266eb92cd571 | GET /recommendations/1 | status=200 | durationMs=2 | usersMs=1 | catalogMs=1
