recommendations listening on port 3003
recommendations request | id=fb4d5a68-34d3-406e-80cf-1adb30cb96b9 | GET /health | status=200 | durationMs=4 | usersMs=n/a | catalogMs=n/a
recommendations request | id=d02a684e-954d-43a1-b59a-fbf8244a286d | GET /recommendations/1 | status=200 | durationMs=13 | usersMs=7 | catalogMs=9
recommendations request | id=0e44e7a3-2776-4adb-beb2-8a99a22c7967 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=4 | catalogMs=5
recommendations request | id=873004f1-f890-4f18-baf5-42b6e953d64e | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=4
recommendations request | id=ef126173-1da7-4ccd-82ab-f1a6da58de88 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=5
recommendations request | id=67f812ea-9e03-4f41-b67c-b3165c5b908c | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=20fa98f9-3f3f-4bd7-9dc4-7ebefe07a798 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=0 | catalogMs=4
recommendations request | id=86a94936-b927-4c83-98d6-f3835361b9fd | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=0 | catalogMs=6
recommendations request | id=6c73bf8a-3a1a-49bb-98a5-5a337948d79d | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=3 | catalogMs=5
recommendations request | id=c4172936-2365-4001-8bc1-0d9342786a7a | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=2 | catalogMs=6
recommendations request | id=8d8e6f7e-24dd-4d26-a6e9-1382f6dc1c2c | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=3 | catalogMs=3
recommendations request | id=03df6050-ebfd-41e3-89e9-2297617ed697 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=4
recommendations request | id=69ccaec1-0f61-4d68-9d4a-666b5b9e5641 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=4
recommendations request | id=7b6b139d-1211-4b27-8d65-56a4ec27eeba | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=2 | catalogMs=3
recommendations request | id=51a668b0-94b5-40ba-b8b6-99eefd689acb | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=7df0aac9-fb61-4bb9-8df9-f6977a9ed1e1 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=3 | catalogMs=3
recommendations request | id=b0d21abe-f43e-4cbe-9686-ea72cdb616aa | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=4
recommendations request | id=4bf6e071-b879-4935-bf94-cbdacfbac3e3 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=4
recommendations request | id=1909faa1-97e5-4a78-a4f8-de53d689cb25 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=2 | catalogMs=5
recommendations request | id=1aed7b11-baed-4286-af3f-31d6c2b71ee0 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=4 | catalogMs=4
recommendations request | id=be9c69c7-2d68-4772-a8f2-d298b1394fe0 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=3 | catalogMs=3
recommendations request | id=5a15ecb8-54f0-4a71-937e-4adff0b6b8c0 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=24322b46-b5a2-4913-a725-631c1041fa1b | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=2
recommendations request | id=41ceca14-2cd3-4460-9754-ebeb34c429c1 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=16b8590b-1afb-4f95-83ce-924597477d53 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=74ae1118-9db1-4a0c-916e-e1234bfd6e7c | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=7b1d32f9-dc79-47e0-b206-6c488c862660 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=0 | catalogMs=3
recommendations request | id=518ebe2d-f4ec-4a25-b630-7dcf64af4a20 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=2 | catalogMs=4
recommendations request | id=b869dd80-3ddf-47a8-a692-73c1d281cc77 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=2 | catalogMs=2
recommendations request | id=d5a3ac6b-8bbd-4443-8b59-3ad05417b40d | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=0d44cdaa-6443-4678-bcf1-784c29a985b3 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=eb8de426-6524-4e01-a40f-4a161845c720 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=7d651a89-2790-4651-a010-234289f9bf0d | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=aca6da61-3efb-446f-9a67-ff83a50c00db | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=4
recommendations request | id=e1b61b48-2a18-4dfc-a1bc-94f58a1fded2 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=b2821599-3776-4fbd-83d9-6b3ac8e4b95c | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=2 | catalogMs=4
recommendations request | id=87d46fc5-3572-40d8-9eb8-b9112af8c536 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=5
recommendations request | id=661fc770-278f-4e31-8e3d-a764c63ce2b4 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=2
recommendations request | id=b7be6c12-2e8b-4172-8e5a-df21f2dcb1dc | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=4
recommendations request | id=37585cb0-f017-43d8-ac67-db94a8106cb6 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=0 | catalogMs=2
recommendations request | id=d502de22-54d2-4efa-aa53-e1596377454c | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=d2c2edd3-fcf4-4b5b-ab9e-3578525bd64e | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=0 | catalogMs=3
recommendations request | id=8030ae12-3755-44c6-be16-7dafe70227d8 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=26c123e9-834f-4c4e-95e2-3e8a3ed1051f | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=5
recommendations request | id=1d54cf89-42be-4142-8647-c45de02b371b | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=ef77e9da-f477-4fdb-b22b-aa3c1c56e8d1 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=60ca12cd-ef70-43c4-8876-b5654c6174ec | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=4
recommendations request | id=22e40e1c-4798-407a-89d4-fbb5cbe8b203 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=4 | catalogMs=5
recommendations request | id=97e1935d-1486-4ee0-b848-47d16de3294a | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=5 | catalogMs=5
recommendations request | id=9f3babf4-8406-457a-98e2-53e0b22e8a6e | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=e0830d3e-3af0-4b05-9319-dd4f413dea3a | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=a7ea6b8f-d0fa-4842-ba6e-fcd5971752fb | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=4
recommendations request | id=b588946c-33c5-423e-951b-acd4496eceae | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=c52b6601-5731-4633-8a8c-42d32ee12a33 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=2 | catalogMs=3
recommendations request | id=d820dd4a-9eea-4596-9027-29cb8d1972e1 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=3 | catalogMs=4
recommendations request | id=313898f2-f4ae-4ee1-8c81-9821c489502b | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=2 | catalogMs=2
recommendations request | id=daa400bd-9788-4cce-a150-5f2f594f802f | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=0 | catalogMs=2
recommendations request | id=5c8e6f4d-a9ff-4b6c-90b8-4205b79629c0 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=42e48cf5-d79f-4239-a14f-66276ee99f0b | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=4
recommendations request | id=f0c9e91d-c689-40b5-8377-53de45c6818e | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=e9b7f7ea-50e4-4ebd-b43f-5d793fc917de | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=0 | catalogMs=3
recommendations request | id=9d05bf05-6215-4724-9856-a2a7a2248d1f | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=8e5b95e9-9e6a-423d-9310-894b3d770c23 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=3 | catalogMs=3
recommendations request | id=bfa51f63-6f92-49f7-ad53-e45c4565411b | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=2 | catalogMs=2
recommendations request | id=fb7dec18-ed03-4031-8145-a05dfc32a4d7 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=e8468585-4f0e-482b-91a1-6c03a069e26b | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=4
recommendations request | id=65d1079b-54e6-4fa6-ba0c-af69d66c8960 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=8b7fc7be-8236-4cf1-9daf-873121f99307 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=2
recommendations request | id=fec92ef7-08c3-441b-a77f-d6bef8fe0ed3 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=5
recommendations request | id=1860c6fa-5504-41d0-8cb0-18c34e6c3c32 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=fd5ec660-72d6-42ec-a480-ac1557aa83ec | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=96d5c171-222d-465a-b41f-5c72d70f8fc1 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=0 | catalogMs=3
recommendations request | id=64f2df12-719d-4fc3-819b-5035bd7e6a60 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=e73fd1ff-1ab0-4b69-85cb-00363b217c56 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=3 | catalogMs=5
recommendations request | id=dabd91ea-b489-49cc-8325-0e607f5da872 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=39de5b20-b173-433a-b576-8b98dcf30d68 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=0 | catalogMs=2
recommendations request | id=35d64b28-a1b2-48b1-8145-6e4d1a7d7ef4 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=4
recommendations request | id=6042ec27-39e9-49ef-8a5c-df14979a0a59 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=d1bb7c36-f8a0-4347-8347-d1c126d0121e | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=fd91956e-2fe0-4784-922e-92e87fb85fa8 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=0 | catalogMs=2
recommendations request | id=03eeb831-a976-49ac-8801-c80953df0f5e | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=4
recommendations request | id=b684588d-aa86-4c9b-a899-8fc804f7f9e2 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=0 | catalogMs=2
recommendations request | id=36cd0f3e-b721-43f0-a8a8-284016c498a8 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=686b8444-5d52-4f02-b530-4baf213d9dd2 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=0 | catalogMs=3
recommendations request | id=d2f3c25d-45ca-442e-b32b-bdf0473d54d5 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=2 | catalogMs=4
recommendations request | id=13386f44-373e-443b-b897-76974fb7c0dc | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=e2287590-c470-4fc0-873b-1115d2476900 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=2 | catalogMs=6
recommendations request | id=599e18fa-e02f-4eea-8feb-d6b45f26fa75 | GET /recommendations/1 | status=200 | durationMs=10 | usersMs=2 | catalogMs=9
recommendations request | id=17d8ab8c-19fc-4214-bd88-c746319ad39c | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=3 | catalogMs=3
recommendations request | id=dea31c80-c5e2-4741-8e2b-4963d9df56d3 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=0 | catalogMs=2
recommendations request | id=4114596e-92d1-4cd0-b1be-af88886156eb | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=3f124abf-e49d-4e07-91f2-577d5ed8102c | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=2af6a35c-e41d-4cdc-95ac-c1a05fe12e7c | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=3c3b5d5a-10f7-4e3a-aa90-512369998390 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=0 | catalogMs=2
recommendations request | id=d7af84f3-c2d7-4c9a-8903-e3bac54a4577 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=0 | catalogMs=4
recommendations request | id=b66a3e20-faad-40a7-ab29-150b9ad9d477 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=6
recommendations request | id=a2184ae8-57e5-4c92-a856-faa2d9e9fbbd | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=c7649169-50ac-408a-90c9-b1cb9d1e991f | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=f383070e-4908-4fac-9600-ad25cb781ed3 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=24c98f86-8b1d-46d2-aaa0-a3ba85720a01 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=5
recommendations request | id=15dd5f58-c147-46f0-a4a9-9593fc59e539 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=98dbfc40-4502-424a-bf7c-243744f2d72f | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=3 | catalogMs=3
recommendations request | id=c7d61912-49a7-4277-b5f1-668717d3df83 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=6 | catalogMs=7
recommendations request | id=6e034b57-ec27-4e86-8a5d-c65483823744 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=2
recommendations request | id=43e2a744-60b5-4df7-b0f9-4fe33df54047 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=a1cb7573-8602-4d74-8ed9-283cd9c64853 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=68f64cdf-5a33-4d11-a2eb-fc6d080108bd | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=5
recommendations request | id=5a8c340c-3549-4a58-97b3-6f532f5cd408 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=3
recommendations request | id=f89874d8-b8f2-4566-8dd4-17c561b39955 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=e575834a-a237-494f-8a41-c2a90f4774b0 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=c8a503a8-3b28-4798-b116-de8086b8f7ae | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=2 | catalogMs=2
recommendations request | id=7489a43c-5404-4cdc-91a0-91c50485b24f | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=07b14dd7-732b-4bfa-b222-4d95c46d217c | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=3
recommendations request | id=ee37f73d-2029-4f41-93e8-f288748483ab | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=2
recommendations request | id=af974266-2a6f-4143-bf48-0bd179396a5e | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=1974cb77-6d5d-44c4-b2ee-f17b0c37814b | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=2
recommendations request | id=efb36e0c-9fab-45e0-b4b6-ed7d8c415490 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=37ade0b6-4f1f-474c-8292-4eea3f469d3a | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=0cfb7c8e-b491-4173-91e7-f05cf9c4a0a6 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=92d5f78c-6785-4094-8029-6cfba2de7a3b | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=5
recommendations request | id=3d52d9ad-970a-469b-ba32-a2da2efef873 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=005c56c0-c4e6-4584-94cc-7c6a9d6c1408 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=3
recommendations request | id=2e5c1eef-8942-4ac5-a1a9-9cc3bf91a650 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=5
recommendations request | id=d688f339-5743-4d65-907e-dbf5b694f9d4 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=0 | catalogMs=3
recommendations request | id=d1b9cdad-7e52-4534-b001-d3df70133879 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=301a8c11-9c44-4819-8c7a-6ef7a4058910 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=20d12faf-08c4-4ef3-ad64-8490bf21a0c2 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=2 | catalogMs=3
recommendations request | id=e663f018-e079-4b5a-a2e3-8e7ec7df615f | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=20f6b575-c184-4342-b473-c7bbab4fb4c6 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
