
> gateway@1.0.0 start
> node src/server.js

gateway listening on port 3000
gateway request | id=a7a2cf96-6442-476f-a57e-16fdab51625d | GET /health | status=200 | durationMs=7 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=006934eb-b880-4bc6-867e-c632864ab4f5 | GET /api/recommendations/1 | status=200 | durationMs=9 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=9ad1f15f-1827-404a-8ea0-9d1907533fe5 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=298d8af4-6209-43e8-ac83-93de8a01125f | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=dc92e633-6093-477f-abf5-07bc4c7159c0 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=e51af781-937d-4d15-8f49-aaeddc412cb5 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=b659786d-1a2d-41f1-b61c-93fe9d1aaef4 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=b499dd6b-1549-4235-9270-5b3d2f741349 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=40631dd1-740b-4562-af79-cb9ede2cc272 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=0848891b-575f-483c-83e4-80283b4f099e | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=917bf100-e2d1-45c6-a440-c374521ebe7d | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=9a13ffeb-30d7-4bb0-b661-fe239b16e9e9 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=127ee468-5f4b-4155-bf32-714c7ebb1b67 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=991e5221-e0b6-45f4-9548-eba8dd9a4c90 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=ce4f91e3-6819-418b-ba7f-d1522ab707c3 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=5c9a5491-d794-41ed-9ca5-a2451aa27054 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=25e6d4bf-d66c-4df6-ac58-0d6bbc4cb186 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=3eb864d8-596d-4744-a5ba-5ff05329ab3a | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=e949122a-5a3b-4bc0-aac8-efc1905f3d6e | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=af701cb8-42a5-4270-a225-dc3cabda66aa | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=bbaf138c-fd23-4ff5-b684-c9a17f25eda9 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=adcb8640-f9c0-47dc-a956-0a41296da15c | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=5effaca1-136e-4a0e-b069-9eed2ae9b8ff | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=e8b7eb67-0613-4223-af9f-46890a04d969 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=4e609d9e-e0f7-4276-8e97-0e9524337aa0 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=de452f98-f304-45d5-b9cd-87789a481213 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=05ca1bf9-e9fe-4b53-a1fc-4517b79798d2 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=740db965-821f-4583-9636-5653c127a79e | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=0205353d-ed26-4e7a-8ee2-96f1d5be749e | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=4e88ea2f-cea8-4a57-83f9-93ee27b00ba0 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=21cb9ae3-7b21-486c-8953-c6e8b7aac41b | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=87892386-f619-42dc-b937-28ee74a4b556 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=9ec27d88-4438-46bb-a559-40b4005d0e68 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=fb1673a8-d7ca-4195-bca6-010e1a28fa6b | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=68584734-42e9-4804-a029-85b1d3530651 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=63a52bf1-41a0-44b3-8b04-6fb7334730dd | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=5a2ffab1-f0af-4d2f-9fba-8abe31ed54e1 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=deded046-7772-4cbc-85d9-bb3418e279fc | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=de1893ce-5da0-4335-8d4a-62e037ddcac5 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=427f6e7f-4b1d-498c-b5e1-9005753c21bb | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=b01d99a9-e4c3-47d4-a5eb-e5bd068242ff | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=6825e5ab-5fcf-42f8-966a-995542d8b4d6 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=510c6b19-7d97-4087-9b27-97bd63dbc95d | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=1321ccf8-a790-46c4-838c-abbdc98f6553 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=06065558-5764-4d0e-8a79-46d81604616a | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=884cda86-11e1-47f6-a0d4-a7ce7fff7ebc | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=518d780d-717c-4547-8065-d0f2ba920566 | GET /api/recommendations/1 | status=200 | durationMs=2 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=5d126be4-ebae-4953-8ee6-332ad6425bfc | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=1f6c3093-7b0e-4195-8ddb-86ad0837ec4d | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=16083dfd-6c4a-48e9-acae-3bda9a6879ec | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=889e261a-93c8-4a5a-b66a-3f539b9fd1d3 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=152feba5-dfd0-4dd5-8df1-d7a7613132c5 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=8dfb0ec3-8239-4f53-b0c0-c5341bcf17a2 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=3f49bbbb-8884-40d3-8dcd-b88961183339 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=88618c45-98f3-4683-b546-3c2750ddfa62 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=2f9e5e85-4722-4a40-81ab-87d82ea5e3c8 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=326ed376-9b67-4ee6-93f9-a42cdde30d3a | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=d14b5043-528b-411e-8883-4e013cbe14a4 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=b2202c21-6ef2-4472-b171-cf4a987d8dd9 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=3bb72dd2-5cc6-4683-817d-8986f72d23ef | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=7d9a8190-a5e4-4443-9613-ab7ef2a7ee11 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=39cea575-940b-4858-bf53-b568e2021228 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=c210ba8a-0746-42a7-8ced-87d8f83d8417 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=2e444bba-e81e-4c03-a53c-b7f54617c993 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=cf94daf2-9580-40c7-bff0-a34e37c4ed8a | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=ac76792e-9ab7-441c-8151-0f4298967840 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=202deb88-635b-49b7-b154-4a58776c97dd | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=37bcb605-01e6-480f-930e-e1d26fbd614a | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=07247487-0825-424b-b2ab-8e748606f0cc | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=b7852eb8-cf77-4606-8f7d-07d4d9d2da7b | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=6bfd9979-54ef-4412-8831-b4e42b921994 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=396125e6-da2c-4c1b-9997-838c0db73a4b | GET /api/recommendations/1 | status=200 | durationMs=9 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=5389bff8-a32f-48c4-aaba-555c48e8656a | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=378ddd27-46b8-4266-8931-470a659553b6 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=dce2c7a7-3cd0-4bb8-8b34-63230af08ab4 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=7e2dd219-4943-4439-a730-1db69e37b74f | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=a6de9ccc-f475-4f1e-aa2b-340e7558cba6 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=15cd1883-21c9-4f04-99ee-0fec163e8801 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=357cf4e4-10c3-4868-ba11-5770afad340c | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=201e4c12-0274-435f-9ac4-327e868fdfa0 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=e446527e-1789-4dce-9d8a-a733073a1e81 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=f6088e87-8090-4d4c-8b3d-759fd8229c75 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=1455a2cf-db9c-4d37-b156-4fbdf723b008 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=dd92e89b-dd56-4698-a9b7-2b52c513abdb | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=32adc79b-4000-4e94-bb01-0cb5aac887bf | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=c07e4659-95fb-4324-8aa1-bf49497e10c3 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=5ba713a9-cb83-4fcd-909f-0ad3f2ac792b | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=1ad73b93-7748-4fda-904d-845b712d6e25 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=a4a4e35f-18c1-49a6-92c5-78e00cc87f72 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=605b76d5-30aa-4d5d-8c83-7de1266525f9 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=cc36e7ba-787c-436c-a689-98dc110eba3f | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=14e8e5a1-ecd3-4d90-8a54-341f186dd0df | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=d41e1597-7667-4379-a2f6-f9492f40bbb3 | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=074f3746-49c5-442f-a061-26c90622a382 | GET /api/recommendations/1 | status=200 | durationMs=12 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=21bf9ae6-a037-4883-b313-e4f603bd3d28 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=c94658b7-b5ab-49b6-8319-a642b556d799 | GET /api/recommendations/1 | status=200 | durationMs=2 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=35d89850-5941-4655-9cde-a159b23973e8 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=96932a34-c11a-4d6c-94f7-0fb69236b8c7 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=2bdd222c-f2c6-4fec-81f9-3cacdb578d21 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=3c29d11e-1ba7-4f63-8e49-ea351f797ded | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=db1b7de3-97dc-4706-9a39-965d4e5ed1a2 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=6b78cbdc-361e-4062-a374-810b13be4481 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=3f535fef-df12-4194-b408-de538a650b3e | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=3d96e154-e0b5-499f-be66-ae49a566638d | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=42869176-f6c2-4230-bd85-ff2b9537c3e1 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=23b74b33-12b5-4ac0-962e-b3654b89df04 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=da04db98-aaed-427d-8a06-41b4ab262575 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=f2bfd4f1-4f18-4793-8956-e43adac0e9f0 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=bc3ab9ef-2d0e-4898-8d7e-8b2c8a5b4bbc | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=c2b4246f-c8a7-416d-a6fc-ec070e10c22c | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=e45bb19f-36cf-4678-9960-e09b7069425d | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=5f6207e1-041e-4f34-a5f8-702d85b34c2b | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=ea21641a-de4f-49bd-bedb-127969fc3e55 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=6829b07e-dcd3-4e9c-ad98-c1e26799e58b | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=fe75a5e2-2bd8-43ac-83ae-f702679894c4 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=66984e49-ddd4-4c08-b6c8-2f5c47536081 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=aa2aece0-96ca-44bf-846f-d01f6ca7cdcf | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=d17bf7ab-1c57-4395-b0a1-8f476b26585d | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=9c400f9a-404a-49e7-bcfd-8c4c78ac8288 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=b130e701-5674-4353-82d1-4b2a7324f74b | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=84ac4386-9633-45d8-a1ab-ebc9b4a4fcc3 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=c9d13fe0-c100-4845-a66e-6b677734af4e | GET /api/recommendations/1 | status=200 | durationMs=2 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=337ee817-f5c8-416e-80a0-15a45ff78d19 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=7a668e89-895c-4306-9550-4ab4fd87bdc0 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=ebcd60db-e62c-4878-9c1e-ce2e7e4ffecc | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=1cb9106c-c588-4317-af52-9dd4a29e95e6 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=9923fe85-0dc8-4b60-addb-17bedb752950 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=c8833a0f-bdf1-49e5-9ed4-3546d82b9b4f | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=e10a56d1-3155-467b-93f9-4951b7c84f0f | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=de331e31-4252-471e-8f02-2c47e09da177 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=2342358a-9bce-4394-bdad-03d87a786e0a | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=a7d59ba3-61ee-448c-9cad-236ee063e43f | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=cb5d15f1-64ca-4685-b64e-7aef8e2d8d81 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=aa054d42-9b09-43a3-963a-42451cf37488 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=d1eda982-ab33-4fa0-b731-bc51f2dd65b6 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=d5e369bf-8f3c-4b9a-a96f-a067a3dc2e04 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=ab5db021-1b22-43ec-9500-a22a1821ffd9 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=cad7e36b-0179-41ee-87da-f1d802690a87 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=a0df6d0b-0167-4015-9a3d-fd1728237e50 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=1352a5c7-94d9-4e53-a315-7df0ca78f055 | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=2f34f2ab-daf2-454f-92ce-12e05a64b8fc | GET /api/recommendations/1 | status=200 | durationMs=3 | upstream=recommendations | cache=n/a | source=n/a
