recommendations listening on port 3003
recommendations request | id=ea351388-11c2-4ec4-98a2-2ba83410cbda | GET /health | status=200 | durationMs=5 | usersMs=n/a | catalogMs=n/a
recommendations request | id=b423e3a4-2434-42e2-9c97-67f66c248f76 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=4
recommendations request | id=3533f527-4a00-44f1-8fc6-59d2b00d21cd | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=70e1da2b-4321-4ec0-9383-bba9ebd19cbf | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=5
recommendations request | id=ef747713-fa7f-48aa-8fff-c499a0d8e494 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=0 | catalogMs=6
recommendations request | id=fb57e54e-1913-44a0-b52d-65de185246f1 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=452718c9-24f2-4e39-a36e-d966dd416183 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=48c81069-43a0-45a7-86cb-ce22d33e0945 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=e4b274c5-d899-4fe1-a4be-85977af0e005 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=0d15b853-add8-43d3-ac5b-bb31bcf244ec | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=2
recommendations request | id=38bb3edb-03cb-4476-bd1a-8b0e830c38f2 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=0 | catalogMs=5
recommendations request | id=0793b44a-4b70-4b15-a44d-1f44883a0e1f | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=705876fd-0ac5-4459-a6f4-9dfb37614712 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=e0067321-efa1-44b2-ac71-f5ce0d1b4edc | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=1a4f6f0d-c534-47ac-85da-7ffe00432450 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=ed5c0906-05f5-4301-b25a-80e0758e88a1 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=b52eedb9-bfbf-4318-b2dd-460624d2ba26 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=0 | catalogMs=2
recommendations request | id=37fd2521-98c5-437b-b51c-1d094aab77f6 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=da3f2269-fd8c-4035-b085-a5cfbd54a424 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=6
recommendations request | id=dc65d014-b879-437c-8e83-d23dc382b09c | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=0 | catalogMs=2
recommendations request | id=0c885124-ee6f-4eec-be4a-ce33b46acc7a | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=22773ef8-a7e5-48a3-bda0-02f4140c3b04 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=4
recommendations request | id=a2d0d743-7dcb-46f7-aa6f-fba960cad1ef | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=2
recommendations request | id=2fb10752-ccd2-465b-a53f-82c8946860d9 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=10b3066b-c629-46a0-8a93-12d20657b99e | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=2
recommendations request | id=ba8a7f56-9519-4a0e-904f-33282c2c693c | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=6a08fd66-39cc-4af8-99cd-e50cf908be7c | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=4
recommendations request | id=9f8a534b-4d1e-4c16-943a-1bbc2905e5e7 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=46565b90-e874-469a-b1e2-715acfa30d34 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=29949a88-985c-4a85-84ab-a994e2774374 | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=1 | catalogMs=2
recommendations request | id=be81d444-2be8-4a22-9e93-1a5110832209 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=0 | catalogMs=3
recommendations request | id=8c11309f-3d31-4bf3-ba03-917f80256d24 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=36b50720-4088-410e-b7a3-1204b5b42d86 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=4
recommendations request | id=053fd4aa-8ca3-45a0-a7b4-62aa3afc1ec4 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=e41d8ef9-2b24-4988-a54e-b2e1cc5e264b | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=857cb7c4-4c56-474e-baf3-ffbfc4ab3d60 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=2
recommendations request | id=331d39fe-0e2d-45d2-a3a3-cc77dce5f9f7 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=2 | catalogMs=2
recommendations request | id=a6b34437-18b8-4d35-b19a-ce61ea69de58 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=9cb5ac5b-97fb-42c1-bb5f-3428d5fb9251 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=93def673-dda7-4c39-98c1-edaab8080b3f | GET /recommendations/1 | status=200 | durationMs=3 | usersMs=0 | catalogMs=2
recommendations request | id=98da09f3-e085-499b-b9b8-9cd5b5f8ddd6 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=9edd556d-ad01-46da-ad6c-fe71ef272be1 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=4164a0bf-d10c-4fa3-b245-5e2231d4ec3c | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=c2def220-df7e-48f9-aa28-5d5beb7b76ad | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=0 | catalogMs=3
recommendations request | id=276fb4d5-43f6-421d-b6d1-3e7805ce9e0a | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=18501f59-659a-4dc5-b749-a762b8f967c0 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=ccbfe105-f7ca-4ef5-97b2-1e00a2edd219 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=0a6ba60d-0398-4025-844e-bc7e15970c9b | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=4
recommendations request | id=a356988d-cade-403c-8ab5-fcf360365b7a | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=4
recommendations request | id=a051cc66-49a5-46b9-b142-021e0666a89b | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=b5b4bf43-33f3-4f27-8e30-b8c4ca999293 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=1 | catalogMs=6
recommendations request | id=75101f37-1f9a-495e-a664-4626ea146e0b | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=3 | catalogMs=4
recommendations request | id=9bb30c9c-fa22-43c4-98d8-a0d636f12abe | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=3a91082e-1003-4220-8ae8-a8358146bc4b | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=1c47c473-b908-404a-91c8-df8f87691ff9 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=3022cc91-691a-473a-8bb3-3559cf836f19 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=2
recommendations request | id=eb12026e-f39e-4b3c-a6c7-c7b39b8fb882 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=4
recommendations request | id=0493e7f3-6b41-48f7-9bc0-d0ab27d2f26e | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=15b312a4-d3b3-43da-9cb2-4c0a9a073098 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=c03973b3-2cb7-4b9c-a0d4-cdd34e699044 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=4
recommendations request | id=05160ae5-8f4d-4717-bf00-06b16f4a7300 | GET /recommendations/1 | status=200 | durationMs=5 | usersMs=1 | catalogMs=3
recommendations request | id=3751fba0-5677-4bbf-92c9-af601c2f2718 | GET /recommendations/1 | status=200 | durationMs=4 | usersMs=1 | catalogMs=3
recommendations request | id=c566fb4c-8e4d-4f30-817d-9b3775852069 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=0 | catalogMs=5
recommendations request | id=fc16c83b-32a8-488e-a88c-dcc1dd60b965 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=2
recommendations request | id=418a7ff9-3fc6-4520-a73f-4f9c538e2a47 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=4
recommendations request | id=868c5979-83d8-44b0-bade-1956119f8f54 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=5
recommendations request | id=c1a85196-52aa-4409-8f0e-70095bdf4af9 | GET /recommendations/1 | status=200 | durationMs=10 | usersMs=2 | catalogMs=7
recommendations request | id=a90f128c-27dc-4f85-a7f5-f4a857ac0052 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=2 | catalogMs=4
recommendations request | id=3433f604-4088-4c55-b4a3-46b02d14c9c1 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=2 | catalogMs=5
recommendations request | id=9314b337-bb32-4016-832c-3f1ab532f21d | GET /recommendations/1 | status=200 | durationMs=16 | usersMs=1 | catalogMs=5
recommendations request | id=c64c79b9-4100-4aa6-bd2f-b418bf018790 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=2 | catalogMs=5
recommendations request | id=26ef57da-348d-430c-bddb-aa2b31c790c8 | GET /recommendations/1 | status=200 | durationMs=20 | usersMs=3 | catalogMs=7
recommendations request | id=ccafbeb3-956a-4e0e-919e-b5840073e564 | GET /recommendations/1 | status=200 | durationMs=22 | usersMs=2 | catalogMs=18
recommendations request | id=2d60ea71-08b2-4dd4-9032-cbeb7eed57b7 | GET /recommendations/1 | status=200 | durationMs=21 | usersMs=6 | catalogMs=18
recommendations request | id=6a2588a8-98ba-436a-a2f2-c56c080347fc | GET /recommendations/1 | status=200 | durationMs=25 | usersMs=5 | catalogMs=20
recommendations request | id=e8c46a67-d025-463e-8edd-41adf2f07950 | GET /recommendations/1 | status=200 | durationMs=35 | usersMs=4 | catalogMs=30
recommendations request | id=5d2ac85b-2ee8-4782-82bb-86ae6dd9d6de | GET /recommendations/1 | status=200 | durationMs=34 | usersMs=8 | catalogMs=28
recommendations request | id=f041ab7f-84ef-45fe-984b-4a729b77e68c | GET /recommendations/1 | status=200 | durationMs=26 | usersMs=14 | catalogMs=21
recommendations request | id=72de207e-96ad-417c-848e-624795d1ca5a | GET /recommendations/1 | status=200 | durationMs=30 | usersMs=13 | catalogMs=24
recommendations request | id=0d0a6991-d33d-42c3-afc5-a840bb86ea45 | GET /recommendations/1 | status=200 | durationMs=26 | usersMs=3 | catalogMs=12
recommendations request | id=2985ab54-8a75-4169-8573-6766aaf6843f | GET /recommendations/1 | status=200 | durationMs=16 | usersMs=4 | catalogMs=11
recommendations request | id=434a44bc-0a90-4441-b42a-31481678c47c | GET /recommendations/1 | status=200 | durationMs=43 | usersMs=5 | catalogMs=26
recommendations request | id=337c64ad-d0fe-4c75-922c-d90eec5067f8 | GET /recommendations/1 | status=200 | durationMs=39 | usersMs=2 | catalogMs=34
recommendations request | id=13d37f86-2e7d-4fb0-88ba-396ef937ba18 | GET /recommendations/1 | status=200 | durationMs=18 | usersMs=12 | catalogMs=14
recommendations request | id=8674f2c1-4dca-4577-982a-3143cdcaec37 | GET /recommendations/1 | status=200 | durationMs=32 | usersMs=12 | catalogMs=28
recommendations request | id=0cd6303c-f11a-4a90-82b6-a4745dc74a58 | GET /recommendations/1 | status=200 | durationMs=27 | usersMs=19 | catalogMs=24
recommendations request | id=65e03933-9a3f-4a14-bb5f-34793a905f90 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=1 | catalogMs=5
recommendations request | id=2c1be5dc-7051-4fb8-a22c-a3b2284d758e | GET /recommendations/1 | status=200 | durationMs=13 | usersMs=2 | catalogMs=10
recommendations request | id=4006713c-b9e3-4801-99d3-8833618f2799 | GET /recommendations/1 | status=200 | durationMs=21 | usersMs=1 | catalogMs=18
recommendations request | id=4a40cf38-8b0a-4760-9a9f-fc55f789a0a2 | GET /recommendations/1 | status=200 | durationMs=11 | usersMs=5 | catalogMs=7
recommendations request | id=ccd371ea-4477-41cc-9ed5-6f9fe301866c | GET /recommendations/1 | status=200 | durationMs=16 | usersMs=7 | catalogMs=9
recommendations request | id=c03de1af-85e1-4453-a28b-7c6084a1449d | GET /recommendations/1 | status=200 | durationMs=16 | usersMs=13 | catalogMs=12
recommendations request | id=3aed0b00-1c8e-4c68-a0cc-aab7059a4d52 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=2 | catalogMs=5
recommendations request | id=b7658001-f2e6-4e1c-afb1-0bc4519e0237 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=3 | catalogMs=5
recommendations request | id=2a834664-b6ed-4a60-bd12-1f9a4a23f500 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=2 | catalogMs=4
recommendations request | id=d85f7a1d-6871-4bf8-8a1e-169f67edabc4 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=1 | catalogMs=7
recommendations request | id=effb90da-236a-44b3-8cde-b81878a3842f | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=2 | catalogMs=7
recommendations request | id=cf31e1cb-4a65-45cd-8f09-25c4657ac13b | GET /recommendations/1 | status=200 | durationMs=13 | usersMs=2 | catalogMs=10
recommendations request | id=2d31e5b0-3d63-40f0-bf0b-f983a11e6033 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=5 | catalogMs=5
recommendations request | id=c869c825-af87-405b-9e1a-99a1c91d0a09 | GET /recommendations/1 | status=200 | durationMs=12 | usersMs=4 | catalogMs=8
recommendations request | id=c920fe4a-6e09-4aae-859a-ad45ac4894b6 | GET /recommendations/1 | status=200 | durationMs=12 | usersMs=4 | catalogMs=8
recommendations request | id=22000298-3b9c-41e9-8c0a-02da9387ee01 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=1 | catalogMs=5
recommendations request | id=8c05bb53-2d1f-4880-8882-8bb6d569f119 | GET /recommendations/1 | status=200 | durationMs=11 | usersMs=1 | catalogMs=6
recommendations request | id=158e452a-dad8-49d1-b4c1-4cec6fff1660 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=2 | catalogMs=4
recommendations request | id=789bd5d5-5a5d-4934-9dae-b75ca7e48f3d | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=2 | catalogMs=6
recommendations request | id=784389e3-52f1-4a9f-a44e-e6b4588c3c36 | GET /recommendations/1 | status=200 | durationMs=10 | usersMs=3 | catalogMs=7
recommendations request | id=95f211ad-3229-43a1-8bb9-d8f9ba1b3376 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=1 | catalogMs=5
recommendations request | id=147c33c0-d84e-4ed5-98ee-4b0d6e740398 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=1 | catalogMs=5
recommendations request | id=c6b0351c-7fad-495b-8948-cd571651e13a | GET /recommendations/1 | status=200 | durationMs=12 | usersMs=1 | catalogMs=7
recommendations request | id=22a2a544-2851-4b39-99e9-fe9270392729 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=1 | catalogMs=6
recommendations request | id=ad33af17-a7d0-487e-af7d-b3ae407755c0 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=1 | catalogMs=6
recommendations request | id=093af230-d9c9-411d-b782-5f8121d36ec3 | GET /recommendations/1 | status=200 | durationMs=10 | usersMs=5 | catalogMs=6
recommendations request | id=5d64222d-b8a0-441c-b49f-bce458211bf3 | GET /recommendations/1 | status=200 | durationMs=16 | usersMs=6 | catalogMs=14
recommendations request | id=3263e852-72db-477d-beb5-707baec8bd43 | GET /recommendations/1 | status=200 | durationMs=16 | usersMs=10 | catalogMs=11
recommendations request | id=0936e352-2aa5-4572-8f0d-84054d5b2561 | GET /recommendations/1 | status=200 | durationMs=10 | usersMs=7 | catalogMs=7
recommendations request | id=88f4da24-320b-4b32-8010-1895a5507a36 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=4 | catalogMs=4
recommendations request | id=0d8af6b1-0a6b-4e63-90cc-56a8f292ce9e | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=2 | catalogMs=5
recommendations request | id=65aa3626-7acb-4199-b994-d7f6c9fa8bbf | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=1 | catalogMs=4
recommendations request | id=c4a43a4b-2131-4d4e-8f18-67ad61c0e0ca | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=1 | catalogMs=5
recommendations request | id=a09cf598-7a57-4757-9a61-b4de208215e5 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=2 | catalogMs=5
recommendations request | id=d87cd060-868a-4bb1-bfb2-07964787ed2e | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=3
recommendations request | id=6b8b7382-c733-4f02-8d32-da04ba0be005 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=1 | catalogMs=6
recommendations request | id=33f08873-5b5a-490c-b7d9-80c63e6b9969 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=4
recommendations request | id=1da2c5df-30f4-405e-afe6-218a64e9805f | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=bdd9eae8-8a49-41d2-b777-3cc06460ab97 | GET /recommendations/1 | status=200 | durationMs=10 | usersMs=1 | catalogMs=7
recommendations request | id=abdec994-7afb-4183-bed0-bad5d0bd0533 | GET /recommendations/1 | status=200 | durationMs=11 | usersMs=4 | catalogMs=8
recommendations request | id=14c83198-4560-4769-8a5e-29638e0172e5 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=3 | catalogMs=5
recommendations request | id=4d78c0a7-ddb4-4242-b2b4-c0facdc250a3 | GET /recommendations/1 | status=200 | durationMs=10 | usersMs=1 | catalogMs=6
recommendations request | id=424b8de6-042c-4e92-8dd9-439f04d151ff | GET /recommendations/1 | status=200 | durationMs=11 | usersMs=6 | catalogMs=6
recommendations request | id=62e78c53-d4a8-4d08-bfcf-086bcdb2b0f3 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=5
recommendations request | id=bd7232d0-a121-4a82-99f5-911b0b2c90d2 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=5
recommendations request | id=d675bd96-412f-4db4-a6bd-dbc6eea8a642 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=2f4e6c2d-fb16-4a90-bebf-535b7ddf6d7f | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=2 | catalogMs=5
recommendations request | id=3f304a5a-8e61-463f-a110-8f31d0ab692e | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=3 | catalogMs=6
recommendations request | id=244b8890-f716-4d53-94c7-fa4219902267 | GET /recommendations/1 | status=200 | durationMs=10 | usersMs=3 | catalogMs=8
recommendations request | id=7f25ee5f-e036-4123-aa84-fa4fc2217174 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=2 | catalogMs=5
recommendations request | id=49173eb2-36f5-4f12-a5d0-22f846605bb9 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=1dce648a-a32b-47e2-97a7-659f91f696a4 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=5663487e-c317-4bb5-a91b-3d99ff7e4535 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=2 | catalogMs=4
recommendations request | id=9d06f102-215b-47fa-b465-be137ed989f7 | GET /recommendations/1 | status=200 | durationMs=8 | usersMs=1 | catalogMs=4
recommendations request | id=4ae2fa36-3635-44da-ae01-00d4df8e7c78 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=4
recommendations request | id=832f2830-e87d-4660-a397-c9c9368b2c33 | GET /recommendations/1 | status=200 | durationMs=12 | usersMs=2 | catalogMs=8
recommendations request | id=c690e7e0-55d1-452b-90b7-82e38a6da761 | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=5 | catalogMs=6
recommendations request | id=95c3806d-be28-48ca-89a8-e939ff633ade | GET /recommendations/1 | status=200 | durationMs=10 | usersMs=1 | catalogMs=8
recommendations request | id=7614a3d2-f654-4d59-aaae-35656a57e66b | GET /recommendations/1 | status=200 | durationMs=9 | usersMs=2 | catalogMs=6
recommendations request | id=e60aed03-a56a-4d7d-be88-03174a39c640 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=5
recommendations request | id=5ca13070-37a2-4f38-826f-e4829a39cd68 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=1 | catalogMs=4
recommendations request | id=6c0e372d-f903-498c-a7a9-9edbc0a0d7fd | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=5
recommendations request | id=2d7fd512-0ce7-42d6-a845-38f553437e33 | GET /recommendations/1 | status=200 | durationMs=6 | usersMs=3 | catalogMs=4
recommendations request | id=ac6a5035-841f-43c7-8d20-9997bac426ec | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=2 | catalogMs=4
recommendations request | id=37eac7f2-0d3f-4a6c-8f46-cdd4995db5ce | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=5
recommendations request | id=6ed8d137-33a2-4eb5-91ee-6628f03a6009 | GET /recommendations/1 | status=200 | durationMs=7 | usersMs=1 | catalogMs=4
