gateway listening on port 3000
gateway request | id=9aee0c55-e3a3-4075-9a06-9706d21782e7 | GET /health | status=200 | durationMs=16 | upstream=n/a | cache=n/a | source=n/a
gateway request | id=50fd443f-08ce-4df5-8bee-1f7910ce8cf7 | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=02d7e25f-1fa6-451e-bdf6-0a5bd22bf5d8 | GET /api/recommendations/1 | status=200 | durationMs=13 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=a977415e-23bf-47c1-b078-6cb743e00995 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=ab2e7e31-d8ee-42c0-89fb-581ac9d8c098 | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=c4e5d777-fd58-4a68-9943-9a6ba67c48cc | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=8f452c44-f1ad-4bfa-b0d8-a3f8628e7f83 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=93fca3fd-f41f-414e-8b8d-d19183090f4d | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=a2435ed7-d5d1-408d-ba82-2720dd73b268 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=8f8f948c-bd6f-4a7e-9b65-9b6c814aa4ca | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=92c92f58-5dc6-469f-a5a6-dec3e2d3faef | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=4844511c-8d8a-42b6-8823-e992d3546402 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=b44d86c9-8a6a-4203-9004-89e68ef39ec5 | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=e59a2f55-6cdf-433d-97f1-f1c969dffc42 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=e8e05f71-88a5-4693-9bff-6c13dc9dc7ae | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=ff3c6ea7-8c1b-4e3d-b539-e57ce7c2747e | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=a06fe328-fa0a-41ad-9b17-8d3c4edeb861 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=61e94458-a2e6-4803-8d27-83b6ba7284f6 | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=60b6ceb7-f02f-47c0-a0e5-398614bc8944 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=76a1c58a-6fab-4560-9615-37d78fb524ef | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=a33ee1b1-3560-4295-8e44-d211c6c113dd | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=68101dfb-bde9-4b20-a052-4401d3ea3aba | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=d9cdf0be-27e7-4e59-a939-a9ea76662360 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=11d44392-9132-428a-b629-43945f7cd9f3 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=7da719bc-8e0a-491d-98f5-c364ada7af10 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=13f22fef-0e71-4475-ba95-4c49ba05beba | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=c527d6ad-539b-42b7-93e0-c024f04b7737 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=a26c894e-fcda-4e92-8107-6f05b72d1cb1 | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=e507acaf-f5a2-46ed-bce9-7e892bb8aced | GET /api/recommendations/1 | status=200 | durationMs=9 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=a0858792-fbe1-424d-a4e9-9930d857dfe8 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=f9d7f8ed-f5c7-4238-b3f7-250983dbd7e0 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=0ce5b166-2cc9-4cac-b646-3d9dffe21f63 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=5044ebcd-d35a-4c09-9a9c-d98d22ce36dd | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=360ae10a-5c37-4f4b-8cc2-46452686e32d | GET /api/recommendations/1 | status=200 | durationMs=9 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=731ad3ac-c00e-41c2-ae20-e3c83c4a830e | GET /api/recommendations/1 | status=200 | durationMs=14 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=ad59c44e-63b9-4820-85dd-d447c2628733 | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=ca3df3b3-b323-460f-a2f8-5ff54653bec8 | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=4daada7e-1afb-4271-b225-4548cc21d292 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=20eddc8a-0f50-452d-9f90-77a6035dec63 | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=afbd1996-9dfc-438b-8ac0-fe66448e987c | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=0c63a876-c4b0-4c2d-83bb-a5dd3fbbb267 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=877c3ca4-b304-445a-88f7-f547bbd0dc70 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=d31a7134-02e9-469f-b473-ba645e24dc47 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=c5eb75a9-8947-4a0b-8bb4-aaec30975b2b | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=5da67821-d9b4-476e-8097-cd5712efd27d | GET /api/recommendations/1 | status=200 | durationMs=10 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=74ff561e-f384-4ef0-b75d-88540a1db958 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=c613ba7b-5c19-424a-a858-84323b00eee6 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=331e65e7-30ac-4a0e-afd5-dfb67628e24a | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=e71937e8-c73e-485e-9b96-f2869a72d22c | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=d47d2592-0cf4-4424-acf3-babde6348dcf | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=fa609868-7f1b-4ed7-9265-d5a754a15ce8 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=42d47486-cddf-4e28-8f92-77b582d52e0a | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=f33b081d-f5da-48c4-a57d-91cc5ec86a87 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=2ec537f8-d67a-4bb1-93c4-ed19513c50dc | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=10b36c7f-bf2f-4956-8998-c859d9e655c4 | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=33f819f2-ba11-4e01-8ab5-deed0e426db3 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=4d307c07-5491-489c-a1c4-c48239b86ebd | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=e7c9c32b-f83c-455b-aa97-e5dc9837e572 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=eb82e4da-d0c6-4947-8a85-4d977802dbd0 | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=76c6fd74-1980-44f2-a5bb-569778845a4a | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=146f82fd-7d0f-4a53-b654-81a025833352 | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=da63dd53-49a3-4ce4-832b-080f96143806 | GET /api/recommendations/1 | status=200 | durationMs=9 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=e23fd33f-1a0a-49e7-9652-899f06d9228a | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=739dc232-a069-4c26-91e4-63e85addb951 | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=76cc08f3-f177-4534-949e-5b3a3848470c | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=ffbdc612-e40a-4907-b94d-cf7f248b291c | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=b0a0d0e7-c21d-4f91-b28d-3761d1aa7d32 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=144f6c8b-f950-4cdf-92f8-ee6770e35f2a | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=fe8cc1a2-9115-4da5-b30c-5b0370b7c25e | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=b11d194f-6b02-44ba-a520-b428e946fd9d | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=675d3afe-f872-4bfe-9b20-10f529a67725 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=41f8107a-be92-4401-8c23-9cc8a0c1da6f | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=9c6163c8-3a87-430d-b821-a8bf7d1bd987 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=48b35139-b898-41ae-a6a4-47520ed62237 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=9ea069ad-d487-45cc-911e-6e8b1153d886 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=a352d8bf-a9b6-4f10-8aa4-eca145527c32 | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=07b06fe4-de96-4400-aa6e-6435a98b6b9a | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=ad30d0a9-58bc-4397-8372-33aabc2a54bb | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=c949a4c7-c5d4-451e-a14d-a1cb6fe296b8 | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=4b2d8f4f-ae01-46ea-8c30-690dc3eeb27a | GET /api/recommendations/1 | status=200 | durationMs=10 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=969fb947-0ed3-4921-ba8a-4d954afaf379 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=cf9c79f9-7cd2-471f-afc6-f1ea416a67e3 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=abce32fa-ce83-499c-8672-d28a0afb13bd | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=ab6a3b3d-861d-4f42-b44c-1d625df175dc | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=a744b5f6-152a-43ea-ab49-4595adfecd44 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=f1833c22-7eba-4f90-9da3-c6f79faf0628 | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=fe5cbd02-92c2-4fee-a97b-92bac277f089 | GET /api/recommendations/1 | status=200 | durationMs=9 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=feb367cb-fdd8-4602-b176-b2f998e4f00d | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=303f78b8-39f6-4e4e-8f05-957e4ee5b4b8 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=40988384-5b1c-4057-9f70-52ee0d073e86 | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=98b90fe9-200a-4ee3-a37f-f0bad85d0324 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=e03c39cd-ebbf-4cb9-860b-20637d67bca9 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=d57edc0b-6a13-4389-81bf-362973b7518b | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=9689eb5c-8b8e-4f3e-835e-047e7d970915 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=7ff511dc-961c-4f9f-b872-5e6cd3fe0dd4 | GET /api/recommendations/1 | status=200 | durationMs=9 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=3c435ea8-1939-423a-91e5-b1429846f0b2 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=13960eb3-1e7c-4304-9291-435ae93eb0e8 | GET /api/recommendations/1 | status=200 | durationMs=10 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=6d622d01-d670-4e99-8fce-e25a21f51f0b | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=7dbc90da-108e-4fb6-8384-4264ae0ddeca | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=39f3b70a-486e-4f5e-aecf-2d8b16be2a7e | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=5fa2bd72-ac51-4b0a-a41c-922aa8c0b892 | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=6b0596cb-0f13-420f-88e7-f4e6b162eb8d | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=912126bc-b1a8-409d-be4d-27a42604ebe8 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=ef2041af-f1fb-4b8f-b0d0-23ab685d8f85 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=adeea2b1-9183-4e48-bcbb-70d2b57a1536 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=beabc34a-07c0-479a-96d5-df4527285243 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=61d119f0-3826-4173-b46e-552902d6987d | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=7ae327fb-79f0-4235-ba30-ff12ef839cfd | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=4ffef0d2-c5d5-44cf-8c5d-4f8846a19703 | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=0fe76ce2-5106-4f07-8338-78919a4968be | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=bc2c8c6e-7bb0-4629-a231-bb6d0a41d6a9 | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=6571f7c8-f454-4ea0-b8a1-7d0a4e249612 | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=c7d42981-33c0-4e9e-b1f9-3bb01e98a0bd | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=4e7a36b6-e2f8-40d8-937c-894eb1c8fdec | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=00a0f12f-c7d5-4b42-a648-efee8fedec43 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=010e9e38-8292-45e4-a7a3-d13605635cfe | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=c53a19d0-7e33-4065-a7d6-53d37008e625 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=97b7a217-b785-415c-af5a-e525fe399701 | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=69efda44-7fce-4fac-868b-9325349f31fc | GET /api/recommendations/1 | status=200 | durationMs=9 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=aefd9c59-af70-4db4-94c0-9541e39bde11 | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=4938fa4c-4b03-4c81-9be9-4affd5e3f439 | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=44ab6fd5-0138-45e5-8106-c1e55693732e | GET /api/recommendations/1 | status=200 | durationMs=14 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=f72baead-4941-44ea-adce-fcb6c5f3e6bb | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=e701e856-c036-4ecc-95c1-3a7c81d76583 | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=6fde383a-6d5b-4bb1-84b3-0faf19a1813a | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=69e9ae07-a29d-4e9e-8b59-c9ab2b9f8d00 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=4ea45484-8a67-4dfc-85b3-6cbeaf899098 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=09d94f3b-28ed-43d7-846b-83e37149462a | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=ba675f5c-3f46-4177-b20a-7cfbbe60b0d4 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=1add08fd-24b0-4f3f-bbd9-487f9591f994 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=081b0a10-60a8-4019-8190-1845cbe94682 | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=7fc12f87-1bfe-41c2-91d2-18a6c3e2419f | GET /api/recommendations/1 | status=200 | durationMs=9 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=70c4ea4e-5070-45b7-8888-a8a0c384c359 | GET /api/recommendations/1 | status=200 | durationMs=9 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=0f67a6a4-54f7-44a4-8dae-bea8b1d4d63a | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=f3e88d3c-c00d-484c-b85e-c4a1118f3fd1 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=28fc5c25-ad67-4485-ac1a-3cd1fb91011e | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=aec882c3-80b2-4093-86a9-1055b7e95319 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=4e02db51-6e8b-42f1-a55e-111dcd0a64cf | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=5f24c2b1-a393-4ea3-a9f4-d64161ebfb08 | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=5c7573c1-533f-42ed-8d00-42a6e9dbe6ef | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=13c356cb-a710-4eef-98f6-ce16a914254a | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=8f0c482a-3fa4-40a1-b2ae-a387f3790651 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=b9c3eec1-9eec-42c0-ab58-0079ddb85f9e | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=ed4d6608-ee72-400d-af93-4b8b82f2ff88 | GET /api/recommendations/1 | status=200 | durationMs=11 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=d3c1393c-d6cd-4269-8165-cd2abcad2563 | GET /api/recommendations/1 | status=200 | durationMs=12 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=119e8562-3d0d-44e3-9644-76f29f96796c | GET /api/recommendations/1 | status=200 | durationMs=18 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=a90df2e2-114d-4145-bb87-b0d72df7cadc | GET /api/recommendations/1 | status=200 | durationMs=8 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=189b81f3-624f-4329-bf2b-184ee76cb379 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=785b9421-09e7-4336-9010-a95e985ff447 | GET /api/recommendations/1 | status=200 | durationMs=5 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=c56c4863-be32-423b-9e0d-c6b7e7a4b452 | GET /api/recommendations/1 | status=200 | durationMs=6 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=08501e7d-ed46-43de-b375-1bfbe881a75f | GET /api/recommendations/1 | status=200 | durationMs=7 | upstream=recommendations | cache=n/a | source=n/a
gateway request | id=56206f65-7c66-4e14-a87d-fe0d5ec7af04 | GET /api/recommendations/1 | status=200 | durationMs=4 | upstream=recommendations | cache=n/a | source=n/a
